Squad,Wins,Draws,Losses,Points,Goals_For,Goals_Against,Goal_Differential,Possession,Wages,pred_cluster,Satisfaction_score,cluster_label
Ajaccio,0.0,0.0,93.54838709677419,0.0,0.0,66.12903225806451,0.0,25.806451612903224,3.225806451612903,5,-3.225806451612903,6th
Amiens,35.483870967741936,64.51612903225806,74.19354838709677,41.935483870967744,14.516129032258066,29.03225806451613,51.61290322580645,16.129032258064516,61.29032258064516,2,-19.354838709677416,4th
Angers,29.03225806451613,77.41935483870968,58.06451612903226,35.483870967741936,32.25806451612903,51.61290322580645,48.38709677419355,29.03225806451613,54.83870967741935,2,-19.354838709677416,4th
Auxerre,6.451612903225806,14.516129032258066,45.16129032258064,6.451612903225806,3.225806451612903,45.16129032258064,12.903225806451612,3.225806451612903,0.0,1,6.451612903225806,5th
Bastia,54.83870967741935,51.61290322580645,66.12903225806451,54.83870967741935,14.516129032258066,35.483870967741936,41.935483870967744,22.58064516129032,41.935483870967744,2,12.903225806451609,4th
Bordeaux,67.74193548387096,88.70967741935483,41.935483870967744,70.96774193548387,64.51612903225806,61.29032258064516,58.06451612903226,70.96774193548387,74.19354838709677,2,-3.225806451612897,4th
Brest,29.03225806451613,33.87096774193548,51.61290322580645,29.03225806451613,58.06451612903226,74.19354838709677,54.83870967741935,35.483870967741936,29.03225806451613,1,0.0,5th
Caen,48.38709677419355,25.806451612903224,80.64516129032258,45.16129032258064,27.419354838709676,70.96774193548387,29.03225806451613,6.451612903225806,38.70967741935484,1,6.451612903225801,5th
Clermont Foot,29.03225806451613,14.516129032258066,48.38709677419355,25.806451612903224,19.35483870967742,66.12903225806451,25.806451612903224,67.74193548387096,6.451612903225806,1,19.354838709677416,5th
Dijon,16.129032258064516,46.774193548387096,87.09677419354838,11.29032258064516,35.483870967741936,100.0,9.67741935483871,51.61290322580645,45.16129032258064,1,-33.87096774193548,5th
Evian,48.38709677419355,3.225806451612903,100.0,20.967741935483872,45.16129032258064,87.09677419354838,20.967741935483872,41.935483870967744,58.06451612903226,5,-37.09677419354839,6th
Gazélec Ajaccio,9.67741935483871,100.0,66.12903225806451,20.967741935483872,27.419354838709676,77.41935483870968,20.967741935483872,48.38709677419355,19.35483870967742,2,1.612903225806452,4th
Guingamp,58.06451612903226,38.70967741935484,70.96774193548387,48.38709677419355,48.38709677419355,83.87096774193549,32.25806451612903,32.25806451612903,51.61290322580645,1,-3.225806451612897,5th
Lens,74.19354838709677,64.51612903225806,19.35483870967742,74.19354838709677,80.64516129032258,22.58064516129032,77.41935483870968,77.41935483870968,9.67741935483871,4,64.51612903225806,3rd
