"ID","Squad","Wins","Draws","Losses","Points","Goals_For","Goals_Against","Goal_Differential","Possession","Wages","pred_cluster","Satisfaction_score","cluster_label","League"
1,"Arsenal",93.75,25.00,12.50,90.62,93.75,15.62,90.62,90.62,90.62,0,0.00,"2nd","EPL"
2,"Aston Villa",46.87,18.75,71.87,37.50,46.87,65.62,46.87,56.25,68.75,1,-31.25,"4th","EPL"
3,"Bournemouth",43.75,31.25,65.62,40.62,62.50,78.12,34.37,50.00,31.25,1,9.37,"4th","EPL"
4,"Brentford",78.12,84.37,18.75,78.12,78.12,23.43,78.12,21.87,3.12,2,75.00,"3rd","EPL"
5,"Brighton",40.62,96.87,28.12,56.25,56.25,28.12,65.62,78.12,46.87,2,9.37,"3rd","EPL"
6,"Burnley",37.50,78.12,50.00,43.75,18.75,40.62,43.75,9.37,21.87,5,21.87,"5th","EPL"
7,"Cardiff City",17.18,6.25,90.62,12.50,12.50,93.75,6.25,0.00,12.50,3,0.00,"6th","EPL"
8,"Chelsea",90.62,53.12,7.81,93.75,87.50,3.12,93.75,93.75,93.75,0,0.00,"2nd","EPL"
9,"Crystal Palace",56.25,59.37,46.87,53.12,50.00,37.50,56.25,25.00,71.87,2,-18.75,"3rd","EPL"
10,"Everton",73.43,75.00,21.87,75.00,68.75,31.25,75.00,59.37,81.25,2,-6.25,"3rd","EPL"
11,"Fulham",25.00,21.87,87.50,15.62,31.25,85.93,15.62,71.87,53.12,1,-37.50,"4th","EPL"
12,"Huddersfield",3.12,42.18,93.75,0.00,0.00,81.25,3.12,43.75,9.37,3,-9.37,"6th","EPL"
13,"Hull City",25.00,34.37,84.37,21.87,15.62,71.87,21.87,28.12,18.75,1,3.12,"4th","EPL"
14,"Leeds United",50.00,50.00,60.93,46.87,71.87,90.62,37.50,81.25,15.62,1,31.25,"4th","EPL"
15,"Leicester City",81.25,46.87,25.00,81.25,81.25,43.75,81.25,62.50,75.00,2,6.25,"3rd","EPL"
16,"Liverpool",96.87,42.18,3.12,96.87,96.87,6.25,96.87,96.87,87.50,0,9.37,"2nd","EPL"
17,"Manchester City",100.00,0.00,0.00,100.00,100.00,0.00,100.00,100.00,96.87,4,3.12,"1st","EPL"
18,"Manchester Utd",84.37,68.75,7.81,85.93,84.37,9.37,84.37,87.50,100.00,0,-14.06,"2nd","EPL"
19,"Middlesbrough",0.00,100.00,78.12,6.25,3.12,34.37,18.75,53.12,28.12,5,-21.87,"5th","EPL"
20,"Newcastle Utd",65.62,65.62,40.62,65.62,59.37,53.12,59.37,18.75,62.50,2,3.12,"3rd","EPL"
21,"Norwich City",6.25,12.50,98.43,3.12,6.25,96.87,0.00,40.62,6.25,3,-3.12,"6th","EPL"
22,"Nott'ham Forest",25.00,90.62,60.93,28.12,28.12,85.93,12.50,3.12,65.62,5,-37.50,"5th","EPL"
23,"QPR",10.93,3.12,98.43,9.37,42.18,100.00,9.37,34.37,50.00,3,-40.62,"6th","EPL"
24,"Sheffield Utd",34.37,9.37,81.25,31.25,9.37,23.43,31.25,15.62,0.00,1,31.25,"4th","EPL"
25,"Southampton",62.50,71.87,43.75,59.37,65.62,56.25,62.50,75.00,59.37,2,0.00,"3rd","EPL"
26,"Stoke City",59.37,81.25,35.93,62.50,42.18,50.00,51.56,46.87,37.50,2,25.00,"3rd","EPL"
27,"Sunderland",10.93,87.50,68.75,18.75,21.87,68.75,25.00,12.50,40.62,5,-21.87,"5th","EPL"
28,"Swansea City",53.12,37.50,56.25,50.00,53.12,59.37,51.56,68.75,25.00,1,25.00,"4th","EPL"
29,"Tottenham",87.50,15.62,15.62,85.93,90.62,12.50,87.50,84.37,84.37,0,1.56,"2nd","EPL"
30,"Watford",31.25,28.12,75.00,34.37,37.50,75.00,28.12,31.25,43.75,1,-9.37,"4th","EPL"
31,"West Brom",17.18,93.75,53.12,25.00,25.00,62.50,40.62,6.25,34.37,5,-9.37,"5th","EPL"
32,"West Ham",68.75,59.37,35.93,68.75,75.00,46.87,71.87,37.50,78.12,2,-9.37,"3rd","EPL"
33,"Wolves",73.43,59.37,31.25,71.87,34.37,18.75,68.75,65.62,56.25,2,15.62,"3rd","EPL"
34,"Ajaccio",0.00,0.00,93.54,0.00,0.00,66.12,0.00,25.80,3.22,5,-3.22,"6th","Ligue1"
35,"Amiens",35.48,64.51,74.19,41.93,14.51,29.03,51.61,16.12,61.29,2,-19.35,"4th","Ligue1"
36,"Angers",29.03,77.41,58.06,35.48,32.25,51.61,48.38,29.03,54.83,2,-19.35,"4th","Ligue1"
37,"Auxerre",6.45,14.51,45.16,6.45,3.22,45.16,12.90,3.22,0.00,1,6.45,"5th","Ligue1"
38,"Bastia",54.83,51.61,66.12,54.83,14.51,35.48,41.93,22.58,41.93,2,12.90,"4th","Ligue1"
39,"Bordeaux",67.74,88.70,41.93,70.96,64.51,61.29,58.06,70.96,74.19,2,-3.22,"4th","Ligue1"
40,"Brest",29.03,33.87,51.61,29.03,58.06,74.19,54.83,35.48,29.03,1,0.00,"5th","Ligue1"
41,"Caen",48.38,25.80,80.64,45.16,27.41,70.96,29.03,6.45,38.70,1,6.45,"5th","Ligue1"
42,"Clermont Foot",29.03,14.51,48.38,25.80,19.35,66.12,25.80,67.74,6.45,1,19.35,"5th","Ligue1"
