Squad,Wins,Draws,Losses,Points,Goals_For,Goals_Against,Goal_Differential,Possession,Wages,pred_cluster,Satisfaction_score,cluster_label
Arminia,14.814814814814813,90.74074074074075,77.77777777777779,14.814814814814813,0.0,44.44444444444444,14.814814814814813,3.7037037037037033,7.4074074074074066,0,7.4074074074074066,3rd
Augsburg,55.55555555555556,37.03703703703704,59.25925925925925,48.148148148148145,51.85185185185185,55.55555555555556,51.85185185185185,29.629629629629626,44.44444444444444,5,3.7037037037037024,5th
Bayern Munich,100.0,0.0,0.0,100.0,100.0,0.0,100.0,96.29629629629629,100.0,4,0.0,1st
Bochum,62.96296296296296,3.7037037037037033,70.37037037037037,59.25925925925925,27.77777777777778,33.33333333333333,37.03703703703704,25.925925925925924,14.814814814814813,5,44.44444444444444,5th
Braunschweig,11.11111111111111,11.11111111111111,96.29629629629629,7.4074074074074066,7.4074074074074066,85.18518518518519,11.11111111111111,,3.7037037037037033,2,3.7037037037037033,6th
Darmstadt 98,29.629629629629626,100.0,42.592592592592595,33.33333333333333,27.77777777777778,51.85185185185185,33.33333333333333,0.0,62.96296296296296,0,-29.629629629629633,3rd
Dortmund,96.29629629629629,7.4074074074074066,3.7037037037037033,96.29629629629629,96.29629629629629,14.814814814814813,96.29629629629629,92.5925925925926,96.29629629629629,1,0.0,4th
Düsseldorf,33.33333333333333,40.74074074074074,70.37037037037037,29.629629629629626,44.44444444444444,88.88888888888889,18.51851851851852,18.51851851851852,29.629629629629626,5,0.0,5th
Eint Frankfurt,66.66666666666666,55.55555555555556,33.33333333333333,66.66666666666666,74.07407407407408,40.74074074074074,70.37037037037037,70.37037037037037,70.37037037037037,3,-3.7037037037037095,2nd
Freiburg,40.74074074074074,96.29629629629629,37.03703703703704,55.55555555555556,55.55555555555556,59.25925925925925,55.55555555555556,44.44444444444444,25.925925925925924,0,29.629629629629633,3rd
Greuther Fürth,0.0,55.55555555555556,100.0,0.0,3.7037037037037033,100.0,0.0,14.814814814814813,11.11111111111111,2,-11.11111111111111,6th
Hamburger SV,18.51851851851852,14.814814814814813,85.18518518518519,18.51851851851852,22.22222222222222,66.66666666666666,22.22222222222222,66.66666666666666,77.77777777777779,5,-59.25925925925927,5th
Hannover 96,25.925925925925924,18.51851851851852,81.48148148148148,22.22222222222222,33.33333333333333,81.48148148148148,25.925925925925924,55.55555555555556,18.51851851851852,5,3.7037037037037024,5th
Hertha BSC,51.85185185185185,72.22222222222221,51.85185185185185,51.85185185185185,40.74074074074074,48.148148148148145,48.148148148148145,40.74074074074074,55.55555555555556,0,-3.7037037037037095,3rd
Hoffenheim,70.37037037037037,72.22222222222221,25.925925925925924,74.07407407407408,85.18518518518519,62.96296296296296,77.77777777777779,74.07407407407408,66.66666666666666,3,7.407407407407419,2nd
Ingolstadt 04,40.74074074074074,85.18518518518519,42.592592592592595,44.44444444444444,14.814814814814813,7.4074074074074066,59.25925925925925,37.03703703703704,33.33333333333333,0,11.111111111111114,3rd
Köln,22.22222222222222,62.96296296296296,70.37037037037037,25.925925925925924,37.03703703703704,77.77777777777779,29.629629629629626,51.85185185185185,59.25925925925925,0,-33.33333333333333,3rd
Leverkusen,88.88888888888889,24.074074074074073,11.11111111111111,88.88888888888889,88.88888888888889,11.11111111111111,88.88888888888889,88.88888888888889,85.18518518518519,1,3.7037037037036953,4th
M'Gladbach,85.18518518518519,24.074074074074073,18.51851851851852,85.18518518518519,81.48148148148148,22.22222222222222,85.18518518518519,81.48148148148148,74.07407407407408,1,11.111111111111114,4th
Mainz 05,59.25925925925925,33.33333333333333,55.55555555555556,62.96296296296296,62.96296296296296,37.03703703703704,62.96296296296296,33.33333333333333,40.74074074074074,5,22.22222222222222,5th
Nürnberg,3.7037037037037033,90.74074074074075,90.74074074074075,3.7037037037037033,11.11111111111111,92.5925925925926,3.7037037037037033,7.4074074074074066,22.22222222222222,2,-18.51851851851852,6th
Paderborn 07,7.4074074074074066,55.55555555555556,90.74074074074075,11.11111111111111,18.51851851851852,96.29629629629629,7.4074074074074066,22.22222222222222,0.0,2,11.11111111111111,6th
RB Leipzig,92.5925925925926,48.148148148148145,7.4074074074074066,92.5925925925926,92.5925925925926,3.7037037037037033,92.5925925925926,85.18518518518519,88.88888888888889,1,3.7037037037037095,4th
Schalke 04,74.07407407407408,44.44444444444444,29.629629629629626,70.37037037037037,66.66666666666666,29.629629629629626,66.66666666666666,59.25925925925925,81.48148148148148,3,-11.111111111111114,2nd
Stuttgart,48.148148148148145,29.629629629629626,62.96296296296296,37.03703703703704,48.148148148148145,74.07407407407408,40.74074074074074,62.96296296296296,48.148148148148145,5,-11.111111111111107,5th
Union Berlin,79.62962962962963,66.66666666666666,22.22222222222222,77.77777777777779,70.37037037037037,25.925925925925924,74.07407407407408,11.11111111111111,37.03703703703704,3,40.74074074074075,2nd
Werder Bremen,40.74074074074074,81.48148148148148,48.148148148148145,40.74074074074074,59.25925925925925,70.37037037037037,44.44444444444444,48.148148148148145,51.85185185185185,0,-11.111111111111107,3rd
Wolfsburg,79.62962962962963,77.77777777777779,14.814814814814813,81.48148148148148,77.77777777777779,18.51851851851852,81.48148148148148,77.77777777777779,92.5925925925926,3,-11.111111111111114,2nd
