,League Rank,Squad,# of Players,Avg Age,Avg Poss,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Annual Wages ($),Season
2,1,Manchester City,32,26.4,71.0,38,32,4,2,106,27,79,100,2.63,78.6,23.8,54.8,1.44,54070,"184,103,578",2017-2018
0,2,Manchester Utd,35,26.7,54.7,38,25,6,7,68,28,40,81,2.13,55.7,40.7,15.0,0.4,74976,"201,934,520",2017-2018
6,3,Tottenham,34,25.8,61.8,38,23,8,7,74,36,38,77,2.03,64.7,33.9,30.8,0.81,67953,"97,579,832",2017-2018
4,4,Liverpool,34,25.6,60.3,38,21,12,5,84,38,46,75,1.97,72.9,33.8,39.1,1.03,53049,"116,263,857",2017-2018
3,5,Chelsea,46,26.7,55.6,38,21,7,10,62,38,24,70,1.84,54.4,33.8,20.6,0.54,41282,"147,846,240",2017-2018
1,6,Arsenal,45,26.8,61.4,38,19,6,13,74,51,23,63,1.66,68.3,47.8,20.5,0.54,59323,"192,316,043",2017-2018
18,7,Burnley,30,27.5,43.7,38,14,12,12,36,39,-3,54,1.42,32.3,51.2,-18.9,-0.5,20688,"39,563,962",2017-2018
5,8,Everton,48,26.7,45.5,38,13,10,15,44,58,-14,49,1.29,40.5,52.4,-11.9,-0.31,38797,"103,828,499",2017-2018
10,9,Leicester City,34,27.2,48.0,38,12,11,15,56,60,-4,47,1.24,50.0,48.1,1.9,0.05,31583,"77,904,185",2017-2018
9,11,Crystal Palace,41,27.1,45.2,38,11,11,16,45,55,-10,44,1.16,53.5,48.2,5.2,0.14,25063,"82,684,869",2017-2018
15,12,Bournemouth,37,26.9,48.1,38,11,11,16,45,61,-16,44,1.16,38.8,59.2,-20.4,-0.54,10641,"52,328,645",2017-2018
16,10,Newcastle Utd,37,25.6,41.7,38,12,8,18,39,47,-8,44,1.16,41.6,52.4,-10.8,-0.28,51992,"51,305,427",2017-2018
7,13,West Ham,41,28.0,45.2,38,10,12,16,48,68,-20,42,1.11,36.7,55.1,-18.4,-0.48,56885,"84,497,976",2017-2018
14,14,Watford,37,27.9,49.7,38,11,8,19,44,64,-20,41,1.08,45.0,51.8,-6.8,-0.18,20231,"56,478,625",2017-2018
17,15,Brighton,43,27.5,43.7,38,9,13,16,34,54,-20,40,1.05,37.0,50.8,-13.8,-0.36,30403,"48,498,265",2017-2018
19,16,Huddersfield,36,26.4,45.7,38,9,10,19,28,58,-30,37,0.97,31.3,48.5,-17.2,-0.45,24040,"31,118,172",2017-2018
8,17,Southampton,29,26.2,51.3,38,7,15,16,37,56,-19,36,0.95,39.9,45.2,-5.3,-0.14,30794,"82,723,752",2017-2018
12,19,Stoke City,35,27.5,41.4,38,7,12,19,35,68,-33,33,0.87,36.5,62.5,-26.0,-0.69,29280,"59,609,032",2017-2018
13,18,Swansea City,37,27.2,45.3,38,8,9,21,28,56,-28,33,0.87,31.6,58.6,-27.0,-0.71,20623,"58,054,764",2017-2018
11,20,West Brom,33,29.1,40.7,38,6,13,19,31,56,-25,31,0.82,36.5,47.9,-11.4,-0.3,24520,"71,763,674",2017-2018
