Squad,Wins,Draws,Losses,Points,Goals_For,Goals_Against,Goal_Differential,Possession,Wages,pred_cluster,Satisfaction_score,cluster_label
Arsenal,93.75,25.0,12.5,90.625,93.75,15.625,90.625,90.625,90.625,0,0.0,2nd
Aston Villa,46.875,18.75,71.875,37.5,46.875,65.625,46.875,56.25,68.75,1,-31.25,4th
Bournemouth,43.75,31.25,65.625,40.625,62.5,78.125,34.375,50.0,31.25,1,9.375,4th
Brentford,78.125,84.375,18.75,78.125,78.125,23.4375,78.125,21.875,3.125,2,75.0,3rd
Brighton,40.625,96.875,28.125,56.25,56.25,28.125,65.625,78.125,46.875,2,9.375,3rd
Burnley,37.5,78.125,50.0,43.75,18.75,40.625,43.75,9.375,21.875,5,21.875,5th
Cardiff City,17.1875,6.25,90.625,12.5,12.5,93.75,6.25,0.0,12.5,3,0.0,6th
Chelsea,90.625,53.125,7.8125,93.75,87.5,3.125,93.75,93.75,93.75,0,0.0,2nd
Crystal Palace,56.25,59.375,46.875,53.125,50.0,37.5,56.25,25.0,71.875,2,-18.75,3rd
Everton,73.4375,75.0,21.875,75.0,68.75,31.25,75.0,59.375,81.25,2,-6.25,3rd
Fulham,25.0,21.875,87.5,15.625,31.25,85.9375,15.625,71.875,53.125,1,-37.5,4th
Huddersfield,3.125,42.1875,93.75,0.0,0.0,81.25,3.125,43.75,9.375,3,-9.375,6th
Hull City,25.0,34.375,84.375,21.875,15.625,71.875,21.875,28.125,18.75,1,3.125,4th
Leeds United,50.0,50.0,60.9375,46.875,71.875,90.625,37.5,81.25,15.625,1,31.25,4th
Leicester City,81.25,46.875,25.0,81.25,81.25,43.75,81.25,62.5,75.0,2,6.25,3rd
Liverpool,96.875,42.1875,3.125,96.875,96.875,6.25,96.875,96.875,87.5,0,9.375,2nd
Manchester City,100.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,96.875,4,3.125,1st
Manchester Utd,84.375,68.75,7.8125,85.9375,84.375,9.375,84.375,87.5,100.0,0,-14.0625,2nd
Middlesbrough,0.0,100.0,78.125,6.25,3.125,34.375,18.75,53.125,28.125,5,-21.875,5th
Newcastle Utd,65.625,65.625,40.625,65.625,59.375,53.125,59.375,18.75,62.5,2,3.125,3rd
Norwich City,6.25,12.5,98.4375,3.125,6.25,96.875,0.0,40.625,6.25,3,-3.125,6th
Nott'ham Forest,25.0,90.625,60.9375,28.125,28.125,85.9375,12.5,3.125,65.625,5,-37.5,5th
QPR,10.9375,3.125,98.4375,9.375,42.1875,100.0,9.375,34.375,50.0,3,-40.625,6th
Sheffield Utd,34.375,9.375,81.25,31.25,9.375,23.4375,31.25,15.625,0.0,1,31.25,4th
Southampton,62.5,71.875,43.75,59.375,65.625,56.25,62.5,75.0,59.375,2,0.0,3rd
Stoke City,59.375,81.25,35.9375,62.5,42.1875,50.0,51.5625,46.875,37.5,2,25.0,3rd
Sunderland,10.9375,87.5,68.75,18.75,21.875,68.75,25.0,12.5,40.625,5,-21.875,5th
Swansea City,53.125,37.5,56.25,50.0,53.125,59.375,51.5625,68.75,25.0,1,25.0,4th
Tottenham,87.5,15.625,15.625,85.9375,90.625,12.5,87.5,84.375,84.375,0,1.5625,2nd
Watford,31.25,28.125,75.0,34.375,37.5,75.0,28.125,31.25,43.75,1,-9.375,4th
West Brom,17.1875,93.75,53.125,25.0,25.0,62.5,40.625,6.25,34.375,5,-9.375,5th
West Ham,68.75,59.375,35.9375,68.75,75.0,46.875,71.875,37.5,78.125,2,-9.375,3rd
Wolves,73.4375,59.375,31.25,71.875,34.375,18.75,68.75,65.625,56.25,2,15.625,3rd
