Squad,Wins,Draws,Losses,Points,Goals_For,Goals_Against,Goal_Differential,Possession,Wages,pred_cluster,Satisfaction_score,cluster_label
Alavés,63.33333333333333,23.333333333333332,63.33333333333333,56.666666666666664,16.666666666666664,46.666666666666664,43.333333333333336,3.3333333333333335,56.666666666666664,0,0.0,4th
Almería,23.333333333333332,11.666666666666666,93.33333333333333,6.666666666666667,36.666666666666664,93.33333333333333,3.3333333333333335,35.0,0.0,5,6.666666666666667,6th
Athletic Club,80.0,81.66666666666667,18.333333333333332,83.33333333333334,73.33333333333333,10.0,81.66666666666667,70.0,80.0,2,3.333333333333343,3rd
Atlético Madrid,93.33333333333333,30.0,6.666666666666667,93.33333333333333,93.33333333333333,0.0,93.33333333333333,66.66666666666666,93.33333333333333,4,0.0,2nd
Barcelona,100.0,3.3333333333333335,0.0,100.0,100.0,3.3333333333333335,100.0,100.0,100.0,1,0.0,1st
Betis,73.33333333333333,26.666666666666668,38.333333333333336,73.33333333333333,70.0,63.33333333333333,66.66666666666666,80.0,66.66666666666666,0,6.666666666666671,4th
Celta Vigo,70.0,56.666666666666664,26.666666666666668,70.0,76.66666666666667,56.666666666666664,73.33333333333333,86.66666666666667,73.33333333333333,2,-3.3333333333333286,3rd
Cádiz,23.333333333333332,93.33333333333333,30.0,45.0,13.333333333333334,50.0,36.666666666666664,0.0,46.666666666666664,3,-1.6666666666666643,5th
Córdoba,0.0,81.66666666666667,100.0,0.0,0.0,96.66666666666667,0.0,30.0,3.3333333333333335,5,-3.3333333333333335,6th
Eibar,48.333333333333336,53.333333333333336,46.666666666666664,53.333333333333336,56.666666666666664,40.0,60.0,63.33333333333333,26.666666666666668,0,26.666666666666668,4th
Elche,31.666666666666664,65.0,68.33333333333333,31.666666666666664,10.0,53.333333333333336,33.33333333333333,56.666666666666664,10.0,0,21.666666666666664,4th
Espanyol,63.33333333333333,60.0,43.333333333333336,63.33333333333333,51.66666666666667,43.333333333333336,53.333333333333336,43.333333333333336,63.33333333333333,0,0.0,4th
Getafe,56.666666666666664,76.66666666666667,33.33333333333333,66.66666666666666,20.0,20.0,70.0,6.666666666666667,60.0,0,6.666666666666657,4th
Girona,63.33333333333333,41.66666666666667,53.333333333333336,60.0,60.0,60.0,56.666666666666664,50.0,23.333333333333332,0,36.66666666666667,4th
Granada,38.333333333333336,33.33333333333333,80.0,26.666666666666668,40.0,76.66666666666667,26.666666666666668,20.0,50.0,5,-23.333333333333332,6th
Huesca,3.3333333333333335,90.0,76.66666666666667,3.3333333333333335,33.33333333333333,66.66666666666666,30.0,35.0,33.33333333333333,3,-29.999999999999996,5th
La Coruña,6.666666666666667,96.66666666666667,53.333333333333336,16.666666666666664,43.333333333333336,83.33333333333334,16.666666666666664,46.666666666666664,40.0,3,-23.333333333333336,5th
Las Palmas,16.666666666666664,16.666666666666664,93.33333333333333,11.666666666666666,46.666666666666664,88.33333333333333,6.666666666666667,93.33333333333333,16.666666666666664,5,-4.999999999999998,6th
Leganés,31.666666666666664,65.0,68.33333333333333,31.666666666666664,6.666666666666667,33.33333333333333,50.0,10.0,76.66666666666667,0,-45.00000000000001,4th
Levante,43.333333333333336,70.0,53.333333333333336,45.0,63.33333333333333,70.0,46.666666666666664,40.0,53.333333333333336,0,-8.333333333333336,4th
Mallorca,23.333333333333332,11.666666666666666,93.33333333333333,20.0,23.333333333333332,80.0,11.666666666666666,23.333333333333332,36.666666666666664,5,-16.666666666666664,6th
Málaga,48.333333333333336,20.0,73.33333333333333,50.0,28.333333333333332,30.0,63.33333333333333,53.333333333333336,43.333333333333336,0,6.666666666666664,4th
Osasuna,38.333333333333336,73.33333333333333,60.0,38.333333333333336,28.333333333333332,73.33333333333333,21.666666666666668,16.666666666666664,30.0,0,8.333333333333336,4th
Rayo Vallecano,53.333333333333336,6.666666666666667,83.33333333333334,38.333333333333336,66.66666666666666,100.0,21.666666666666668,76.66666666666667,13.333333333333334,5,25.0,6th
Real Madrid,96.66666666666667,0.0,3.3333333333333335,96.66666666666667,96.66666666666667,6.666666666666667,96.66666666666667,96.66666666666667,96.66666666666667,1,0.0,1st
Real Sociedad,83.33333333333334,46.666666666666664,23.333333333333332,80.0,80.0,26.666666666666668,76.66666666666667,83.33333333333334,70.0,2,10.0,3rd
Sevilla,90.0,36.666666666666664,10.0,90.0,90.0,16.666666666666664,90.0,90.0,90.0,2,0.0,3rd
Sporting Gijón,13.333333333333334,41.66666666666667,86.66666666666667,11.666666666666666,51.66666666666667,88.33333333333333,11.666666666666666,13.333333333333334,6.666666666666667,5,4.999999999999999,6th
Valencia,76.66666666666667,86.66666666666667,18.333333333333332,76.66666666666667,83.33333333333334,23.333333333333332,81.66666666666667,60.0,86.66666666666667,2,-10.0,3rd
Valladolid,10.0,100.0,38.333333333333336,23.333333333333332,3.3333333333333335,36.666666666666664,40.0,26.666666666666668,20.0,3,3.333333333333332,5th
Villarreal,86.66666666666667,50.0,13.333333333333334,86.66666666666667,86.66666666666667,13.333333333333334,86.66666666666667,73.33333333333333,83.33333333333334,2,3.3333333333333286,3rd
