"ID","Season","League Rank","Squad","NumPlayers","Avg Age","Avg Poss","MP","W","D","L","GF","GA","GD","Pts","Pts/MP","Attendance","Annual_Wages","League"
161,"2014-2015",1,"Paris S-G",23,26.80,60.40,38,24,11,3,83,36,47,83,2.18,45789.00,87257361.00,"Ligue1"
162,"2014-2015",2,"Lyon",26,24.60,56.90,38,22,9,7,72,33,39,75,1.97,34949.00,27232703.00,"Ligue1"
163,"2014-2015",3,"Monaco",27,25.50,51.70,38,20,11,7,51,26,25,71,1.87,7820.00,26487732.00,"Ligue1"
164,"2014-2015",4,"Marseille",25,25.60,57.70,38,21,6,11,76,42,34,69,1.82,53130.00,21081346.00,"Ligue1"
165,"2014-2015",5,"Saint-Étienne",24,27.10,50.30,38,19,12,7,51,30,21,69,1.82,32256.00,13682594.00,"Ligue1"
166,"2014-2015",6,"Bordeaux",30,26.20,52.80,38,17,12,9,47,44,3,63,1.66,23463.00,16302727.00,"Ligue1"
167,"2014-2015",7,"Montpellier",26,27.30,47.30,38,16,8,14,46,39,7,56,1.47,12860.00,13031381.00,"Ligue1"
168,"2014-2015",8,"Lille",27,26.40,51.30,38,16,8,14,43,42,1,56,1.47,36552.00,15683108.00,"Ligue1"
169,"2014-2015",9,"Rennes",22,26.00,50.20,38,13,11,14,35,42,-7,50,1.32,20125.00,15047184.00,"Ligue1"
170,"2014-2015",10,"Guingamp",28,28.30,44.20,38,15,4,19,41,55,-14,49,1.29,14848.00,11886919.00,"Ligue1"
171,"2014-2015",11,"Nice",30,24.00,50.40,38,13,9,16,44,53,-9,48,1.26,18293.00,9490988.00,"Ligue1"
172,"2014-2015",12,"Bastia",31,27.20,48.90,38,12,11,15,37,46,-9,47,1.24,12129.00,10783223.00,"Ligue1"
173,"2014-2015",13,"Caen",23,27.20,45.20,38,12,10,16,54,55,-1,46,1.21,16991.00,5278999.00,"Ligue1"
174,"2014-2015",14,"Nantes",27,26.30,47.10,38,11,12,15,29,40,-11,45,1.18,25985.00,9036460.00,"Ligue1"
175,"2014-2015",15,"Reims",30,27.00,48.90,38,12,8,18,47,66,-19,44,1.16,14091.00,10161564.00,"Ligue1"
176,"2014-2015",16,"Lorient",32,24.80,49.60,38,12,7,19,44,50,-6,43,1.13,13649.00,10536595.00,"Ligue1"
177,"2014-2015",17,"Toulouse",27,24.40,49.10,38,12,6,20,43,64,-21,42,1.11,15689.00,11088955.00,"Ligue1"
178,"2014-2015",18,"Evian",29,26.80,45.80,38,11,4,23,41,62,-21,37,0.97,10514.00,11644367.00,"Ligue1"
179,"2014-2015",19,"Metz",31,26.30,44.90,38,7,9,22,31,61,-30,30,0.79,18673.00,8149839.00,"Ligue1"
180,"2014-2015",20,"Lens",27,26.00,47.30,38,7,8,23,32,61,-29,29,0.76,17205.00,4677724.00,"Ligue1"
141,"2015-2016",1,"Paris S-G",28,27.00,66.50,38,30,6,2,102,19,83,96,2.53,46160.00,110149669.00,"Ligue1"
142,"2015-2016",2,"Lyon",30,25.50,61.30,38,19,8,11,67,43,24,65,1.71,40296.00,35218462.00,"Ligue1"
143,"2015-2016",3,"Monaco",31,26.10,48.10,38,17,14,7,57,50,7,65,1.71,7838.00,31961380.00,"Ligue1"
144,"2015-2016",4,"Nice",33,24.20,57.90,38,18,9,11,58,41,17,63,1.66,19192.00,10165641.00,"Ligue1"
145,"2015-2016",5,"Lille",32,27.10,51.10,38,15,15,8,39,27,12,60,1.58,30268.00,19976629.00,"Ligue1"
146,"2015-2016",6,"Saint-Étienne",31,27.20,51.50,38,17,7,14,42,37,5,58,1.53,30328.00,16553433.00,"Ligue1"
147,"2015-2016",7,"Caen",24,28.20,40.20,38,16,6,16,39,52,-13,54,1.42,17661.00,10738381.00,"Ligue1"
148,"2015-2016",8,"Rennes",31,26.20,50.40,38,13,13,12,52,54,-2,52,1.37,23180.00,11589334.00,"Ligue1"
149,"2015-2016",9,"Angers",29,27.20,42.50,38,13,11,14,40,38,2,50,1.32,13500.00,7674929.00,"Ligue1"
150,"2015-2016",10,"Bastia",26,28.70,43.40,38,14,8,16,36,42,-6,50,1.32,11563.00,8964106.00,"Ligue1"
151,"2015-2016",11,"Bordeaux",35,24.90,50.80,38,12,14,12,50,57,-7,50,1.32,25088.00,20188601.00,"Ligue1"
152,"2015-2016",12,"Montpellier",30,27.10,49.80,38,14,7,17,49,47,2,49,1.29,12839.00,13242336.00,"Ligue1"
153,"2015-2016",13,"Marseille",28,25.00,56.60,38,10,18,10,48,42,6,48,1.26,42015.00,27263276.00,"Ligue1"
154,"2015-2016",14,"Nantes",29,25.80,49.20,38,12,12,14,33,44,-11,48,1.26,25226.00,9624491.00,"Ligue1"
155,"2015-2016",15,"Lorient",31,25.40,49.00,38,11,13,14,47,58,-11,46,1.21,11988.00,11317232.00,"Ligue1"
156,"2015-2016",16,"Guingamp",28,28.40,42.80,38,11,11,16,47,56,-9,44,1.16,14804.00,8174297.00,"Ligue1"
157,"2015-2016",17,"Toulouse",25,23.80,46.60,38,9,13,16,45,55,-10,40,1.05,16306.00,9185255.00,"Ligue1"
158,"2015-2016",18,"Reims",31,26.90,47.60,38,10,9,19,44,57,-13,39,1.03,13482.00,12983482.00,"Ligue1"
159,"2015-2016",19,"Gazélec Ajaccio",23,28.40,47.00,38,8,13,17,37,58,-21,37,0.97,3719.00,6280785.00,"Ligue1"
160,"2015-2016",20,"Troyes",33,26.50,48.20,38,3,9,26,28,83,-55,18,0.47,12472.00,9149585.00,"Ligue1"
121,"2016-2017",1,"Monaco",29,25.00,51.90,38,30,5,3,107,31,76,95,2.50,9586.00,41102814.00,"Ligue1"
122,"2016-2017",2,"Paris S-G",28,26.40,65.30,38,27,6,5,83,27,56,87,2.29,45160.00,127344124.00,"Ligue1"
123,"2016-2017",3,"Nice",27,24.30,58.90,38,22,12,4,63,36,27,78,2.05,22949.00,18773056.00,"Ligue1"
124,"2016-2017",4,"Lyon",27,25.00,59.10,38,21,4,13,77,48,29,67,1.76,39171.00,39195038.00,"Ligue1"
125,"2016-2017",5,"Marseille",27,27.40,55.90,38,17,11,10,57,41,16,62,1.63,39894.00,34637567.00,"Ligue1"
126,"2016-2017",6,"Bordeaux",27,25.90,48.30,38,15,14,9,53,43,10,59,1.55,24217.00,21963894.00,"Ligue1"
127,"2016-2017",7,"Nantes",27,24.80,48.40,38,14,9,15,40,54,-14,51,1.34,23152.00,10769971.00,"Ligue1"
128,"2016-2017",8,"Saint-Étienne",34,26.10,49.80,38,12,14,12,41,42,-1,50,1.32,25794.00,18073947.00,"Ligue1"
129,"2016-2017",9,"Rennes",31,26.30,52.00,38,12,14,12,36,42,-6,50,1.32,22688.00,14815846.00,"Ligue1"
130,"2016-2017",10,"Guingamp",25,27.60,47.50,38,14,8,16,46,53,-7,50,1.32,14790.00,9859907.00,"Ligue1"
131,"2016-2017",11,"Lille",31,26.90,51.10,38,13,7,18,40,47,-7,46,1.21,29487.00,27020727.00,"Ligue1"
132,"2016-2017",12,"Angers",29,26.70,46.10,38,13,7,18,40,49,-9,46,1.21,11956.00,10072901.00,"Ligue1"
133,"2016-2017",13,"Toulouse",30,23.30,45.40,38,10,14,14,37,41,-4,44,1.16,17067.00,16166166.00,"Ligue1"
134,"2016-2017",14,"Metz",31,26.50,42.40,38,11,10,17,39,72,-33,43,1.13,15343.00,8970220.00,"Ligue1"
135,"2016-2017",15,"Montpellier",32,26.80,49.40,38,10,9,19,48,66,-18,39,1.03,12356.00,17122098.00,"Ligue1"
136,"2016-2017",16,"Dijon",27,27.70,46.40,38,8,13,17,46,58,-12,37,0.97,10126.00,8578885.00,"Ligue1"
137,"2016-2017",17,"Caen",27,28.70,45.80,38,10,7,21,36,65,-29,37,0.97,16755.00,11800291.00,"Ligue1"
138,"2016-2017",18,"Lorient",30,26.80,50.50,38,10,6,22,44,70,-26,36,0.95,11847.00,13235203.00,"Ligue1"
139,"2016-2017",19,"Nancy",27,27.20,43.10,38,9,8,21,29,52,-23,35,0.92,17516.00,7413018.00,"Ligue1"
140,"2016-2017",20,"Bastia",29,26.90,43.40,38,8,10,20,29,54,-25,34,0.89,9405.00,12414819.00,"Ligue1"
1,"2017-2018",1,"Paris S-G",35,26.10,66.30,38,29,6,3,108,29,79,93,2.45,46930.00,206435344.00,"Ligue1"
2,"2017-2018",2,"Monaco",38,25.80,50.90,38,24,8,6,85,45,40,80,2.11,9243.00,69656287.00,"Ligue1"
4,"2017-2018",3,"Marseille",29,27.20,57.80,38,22,11,5,80,47,33,77,2.03,46616.00,53281198.00,"Ligue1"
