Squad,MP_x,W,D,L,GF,GA,GD,Pts,Attendance,Age,Poss,Annual Wages ($),Season
Atlético Madrid,38,28,6,4,77,26,51,90,46247.0,26.9,,49607301.0,2013-2014
Barcelona,38,27,6,5,100,33,67,87,72116.0,27.4,,181661754.0,2013-2014
Real Madrid,38,27,6,5,104,38,66,87,71558.0,26.4,,138301612.0,2013-2014
Athletic Club,38,20,10,8,66,39,27,70,32851.0,26.4,,18914714.0,2013-2014
Sevilla,38,18,9,11,69,52,17,63,30622.0,25.9,,25679578.0,2013-2014
Villarreal,38,17,8,13,60,44,16,59,16280.0,25.2,,14871897.0,2013-2014
Real Sociedad,38,16,11,11,62,55,7,59,23545.0,25.8,,16629866.0,2013-2014
Valencia,38,13,10,15,51,53,-2,49,36435.0,26.1,,31671952.0,2013-2014
Celta Vigo,38,14,7,17,49,54,-5,49,20570.0,25.0,,8880539.0,2013-2014
Levante,38,12,12,14,35,43,-8,48,15754.0,28.9,,9873153.0,2013-2014
Málaga,38,12,9,17,39,46,-7,45,22325.0,27.0,,16870374.0,2013-2014
Rayo Vallecano,38,13,4,21,46,80,-34,43,10398.0,25.8,,9800798.0,2013-2014
Getafe,38,11,9,18,35,54,-19,42,7295.0,27.7,,14842343.0,2013-2014
Espanyol,38,11,9,18,41,51,-10,42,19631.0,26.7,,12796985.0,2013-2014
Granada,38,12,5,21,32,56,-24,41,16055.0,26.3,,10404111.0,2013-2014
Elche,38,9,13,16,30,50,-20,40,25104.0,27.2,,11039019.0,2013-2014
Almería,38,11,7,20,43,71,-28,40,10985.0,27.5,,8139646.0,2013-2014
Osasuna,38,10,9,19,32,62,-30,39,14768.0,28.0,,10720037.0,2013-2014
Valladolid,38,7,15,16,38,60,-22,36,15874.0,27.7,,7385502.0,2013-2014
Betis,38,6,7,25,36,78,-42,25,30688.0,26.6,,15111387.0,2013-2014
Barcelona,38,30,4,4,110,21,89,94,77632.0,27.7,65.7,165266288.0,2014-2015
Real Madrid,38,30,2,6,118,38,80,92,73918.0,26.4,56.2,156306257.0,2014-2015
Atlético Madrid,38,23,9,6,67,29,38,78,46532.0,27.5,48.6,60352816.0,2014-2015
Valencia,38,22,11,5,70,32,38,77,44239.0,24.8,50.0,30892333.0,2014-2015
Sevilla,38,23,7,8,71,45,26,76,30874.0,26.2,50.3,26792446.0,2014-2015
Villarreal,38,16,12,10,48,37,11,60,15660.0,25.0,48.6,27478310.0,2014-2015
Athletic Club,38,15,10,13,42,41,1,55,41137.0,26.8,53.2,24861229.0,2014-2015
Celta Vigo,38,13,12,13,47,44,3,51,19063.0,26.3,55.9,13547052.0,2014-2015
Málaga,38,14,8,16,42,48,-6,50,22055.0,26.6,49.5,16790881.0,2014-2015
Rayo Vallecano,38,15,4,19,46,68,-22,49,10636.0,27.2,54.8,12118257.0,2014-2015
Espanyol,38,13,10,15,47,51,-4,49,18817.0,26.9,46.0,17608213.0,2014-2015
Real Sociedad,38,11,13,14,44,51,-7,46,21867.0,26.5,49.8,11744244.0,2014-2015
Elche,38,11,8,19,35,62,-27,41,21688.0,26.3,47.9,5275943.0,2014-2015
Levante,38,9,10,19,34,67,-33,37,15866.0,28.0,44.5,12976347.0,2014-2015
Getafe,38,10,7,21,33,64,-31,37,7293.0,26.9,46.9,15111387.0,2014-2015
La Coruña,38,7,14,17,35,60,-25,35,21159.0,26.9,48.4,10787299.0,2014-2015
Granada,38,7,14,17,29,64,-35,35,16733.0,26.6,47.4,11675961.0,2014-2015
Eibar,38,9,8,21,34,55,-21,35,21688.0,27.6,43.8,7422190.0,2014-2015
Almería,38,8,8,22,35,64,-29,29,10486.0,26.1,46.4,5497087.0,2014-2015
Córdoba,38,3,11,24,22,68,-46,20,16322.0,25.7,45.9,8693024.0,2014-2015
Barcelona,38,29,4,5,112,29,83,91,74655.0,28.0,67.1,177354988.0,2015-2016
Real Madrid,38,28,6,4,110,34,76,90,71265.0,26.5,57.3,154153893.0,2015-2016
Atlético Madrid,38,28,4,6,63,18,45,88,46902.0,25.9,48.5,64153080.0,2015-2016
Villarreal,38,18,10,10,44,35,9,64,17660.0,25.3,45.9,21367714.0,2015-2016
Athletic Club,38,18,8,12,58,45,13,62,41917.0,27.7,49.9,25195497.0,2015-2016
Celta Vigo,38,17,9,12,51,59,-8,60,18382.0,26.1,56.4,23640335.0,2015-2016
Sevilla,38,14,10,14,51,50,1,52,33134.0,26.9,50.0,34893365.0,2015-2016
Málaga,38,12,12,14,38,35,3,48,21401.0,28.0,48.8,15454828.0,2015-2016
Real Sociedad,38,13,9,16,45,48,-3,48,20603.0,25.3,51.8,18910637.0,2015-2016
Betis,38,11,12,15,34,52,-18,45,37832.0,27.4,46.7,20015354.0,2015-2016
Valencia,38,11,11,16,46,48,-2,44,37544.0,24.7,50.1,51411129.0,2015-2016
Las Palmas,38,12,8,18,45,53,-8,44,21302.0,27.6,54.6,7992892.0,2015-2016
Espanyol,38,12,7,19,40,74,-34,43,21595.0,24.9,46.2,14588587.0,2015-2016
Eibar,38,11,10,17,49,61,-12,43,5215.0,25.6,45.2,13386031.0,2015-2016
La Coruña,38,8,18,12,45,61,-16,42,23797.0,28.2,47.1,13907819.0,2015-2016
Granada,38,10,9,19,46,69,-23,39,16400.0,25.9,44.6,17141459.0,2015-2016
Sporting Gijón,38,10,9,19,40,62,-22,39,23559.0,24.5,43.1,6475436.0,2015-2016
Rayo Vallecano,38,9,11,18,52,73,-21,38,11665.0,28.5,55.6,13957752.0,2015-2016
Getafe,38,9,9,20,37,67,-30,36,7498.0,26.7,46.1,14179917.0,2015-2016
Levante,38,8,8,22,37,70,-33,32,14661.0,27.2,45.9,15396738.0,2015-2016
Real Madrid,38,29,6,3,106,41,65,93,71977.0,27.0,56.2,204242215.0,2016-2017
Barcelona,38,28,6,4,116,37,79,90,78678.0,26.9,66.1,234306007.0,2016-2017
Atlético Madrid,38,23,9,6,70,27,43,78,44737.0,26.9,48.4,88259149.0,2016-2017
Sevilla,38,21,9,8,69,49,20,72,32783.0,26.8,59.2,71484568.0,2016-2017
Villarreal,38,19,10,9,56,33,23,67,17870.0,26.7,49.3,28600348.0,2016-2017
Real Sociedad,38,19,7,12,59,53,6,64,21473.0,26.0,56.7,24749126.0,2016-2017
Athletic Club,38,19,6,13,53,43,10,63,40948.0,26.8,51.1,39484462.0,2016-2017
Espanyol,38,15,11,12,49,50,-1,56,20433.0,27.2,44.0,32782785.0,2016-2017
Alavés,38,14,13,11,41,43,-2,55,18143.0,25.4,44.4,13180171.0,2016-2017
Eibar,38,15,9,14,56,51,5,54,5326.0,26.9,47.8,17979170.0,2016-2017
Valencia,38,13,7,18,56,65,-9,46,33866.0,25.9,48.8,71368391.0,2016-2017
Málaga,38,12,10,16,49,55,-6,46,22501.0,26.0,48.4,23850274.0,2016-2017
Celta Vigo,38,13,6,19,53,69,-16,45,17028.0,26.1,53.2,37500251.0,2016-2017
Las Palmas,38,10,9,19,53,74,-21,39,20458.0,27.3,59.0,14620177.0,2016-2017
Betis,38,10,9,19,41,64,-23,39,33492.0,26.1,47.9,17884394.0,2016-2017
La Coruña,38,8,12,18,43,61,-18,36,22521.0,27.7,47.0,30558065.0,2016-2017
Leganés,38,8,11,19,36,55,-19,35,10182.0,26.3,44.7,,2016-2017
Sporting Gijón,38,7,10,21,42,72,-30,31,23069.0,26.4,44.4,14300174.0,2016-2017
Osasuna,38,4,10,24,40,94,-54,22,14770.0,26.3,39.0,14708837.0,2016-2017
Granada,38,4,8,26,30,82,-52,20,14890.0,24.7,45.1,24887727.0,2016-2017
Barcelona,38,28,9,1,99,29,70,93,67142.0,27.7,62.8,248123125.0,2017-2018
Atlético Madrid,38,23,10,5,58,22,36,79,52707.0,26.6,47.5,100431417.0,2017-2018
Real Madrid,38,22,10,6,94,44,50,76,66863.0,27.1,60.2,209320446.0,2017-2018
Valencia,38,22,7,9,65,38,27,73,38607.0,24.8,48.6,61940590.0,2017-2018
Villarreal,38,18,7,13,57,50,7,61,16779.0,26.6,50.4,33208772.0,2017-2018
Betis,38,18,6,14,60,61,-1,60,46781.0,27.1,56.9,25325944.0,2017-2018
Sevilla,38,17,7,14,49,58,-9,58,33006.0,27.1,54.3,69891700.0,2017-2018
Getafe,38,15,10,13,42,33,9,55,10428.0,28.2,40.2,14330747.0,2017-2018
Eibar,38,14,9,15,44,50,-6,51,5338.0,27.4,52.0,18443882.0,2017-2018
Girona,38,14,9,15,50,59,-9,51,10424.0,26.3,46.8,13813041.0,2017-2018
Celta Vigo,38,13,10,15,59,60,-1,49,16195.0,25.7,55.7,42895429.0,2017-2018
Espanyol,38,12,13,13,36,42,-6,49,17882.0,26.8,46.9,31534373.0,2017-2018
Real Sociedad,38,14,7,17,66,59,7,49,19793.0,25.9,56.5,42308420.0,2017-2018
Alavés,38,15,2,21,40,50,-10,47,18845.0,25.5,40.3,15991901.0,2017-2018
Levante,38,11,13,14,44,58,-14,46,18534.0,25.7,42.8,31199086.0,2017-2018
Athletic Club,38,10,13,15,41,49,-8,43,37246.0,26.7,49.6,40313004.0,2017-2018
Leganés,38,12,7,19,34,51,-17,43,9969.0,27.8,43.0,,2017-2018
La Coruña,38,6,11,21,38,76,-38,29,20542.0,28.2,46.8,21461472.0,2017-2018
Las Palmas,38,5,7,26,24,74,-50,22,16183.0,27.0,54.7,20080579.0,2017-2018
Málaga,38,5,5,28,24,61,-37,20,20333.0,27.2,44.1,25449261.0,2017-2018
Barcelona,38,26,9,3,90,36,54,87,76104.0,27.7,64.4,273055692.0,2018-2019
Atlético Madrid,38,22,10,6,55,29,26,76,56216.0,26.4,49.2,206488336.0,2018-2019
Real Madrid,38,21,5,12,63,46,17,68,61040.0,27.1,60.1,236713149.0,2018-2019
Valencia,38,15,16,7,51,35,16,61,39504.0,26.4,47.1,77065227.0,2018-2019
Getafe,38,15,14,9,48,35,13,59,11000.0,27.5,40.7,19541468.0,2018-2019
Sevilla,38,17,8,13,62,47,15,59,35993.0,27.9,52.3,78813005.0,2018-2019
Espanyol,38,14,11,13,48,50,-2,53,19388.0,27.7,49.4,32455650.0,2018-2019
Athletic Club,38,13,14,11,41,45,-4,53,40664.0,27.6,50.0,57729620.0,2018-2019
Betis,38,14,8,16,44,52,-8,50,44525.0,26.7,61.8,37692866.0,2018-2019
Alavés,38,13,11,14,39,50,-11,50,17295.0,26.7,42.7,23047212.0,2018-2019
Real Sociedad,38,13,11,14,45,46,-1,50,22310.0,24.9,51.7,38829174.0,2018-2019
Eibar,38,11,14,13,46,50,-4,47,4896.0,28.5,54.0,20466820.0,2018-2019
Leganés,38,11,12,15,37,43,-6,45,10416.0,26.6,43.1,,2018-2019
Villarreal,38,10,14,14,49,52,-3,44,16732.0,27.1,48.3,50125007.0,2018-2019
Levante,38,11,11,16,59,66,-7,44,20216.0,26.3,45.7,36930572.0,2018-2019
Valladolid,38,10,11,17,32,51,-19,41,18992.0,27.4,46.8,16764389.0,2018-2019
Celta Vigo,38,10,11,17,53,62,-9,41,17603.0,25.5,51.6,71016799.0,2018-2019
Girona,38,9,10,19,37,53,-16,37,10948.0,26.6,48.0,18939174.0,2018-2019
Huesca,38,7,12,19,43,65,-22,33,6605.0,26.7,44.5,15732028.0,2018-2019
Rayo Vallecano,38,8,8,22,41,70,-29,32,11928.0,26.6,48.7,21182237.0,2018-2019
Real Madrid,38,26,9,3,70,25,45,87,45833.0,27.6,58.8,363007586.0,2019-2020
Barcelona,38,25,7,6,86,38,48,82,54223.0,27.8,66.4,351440667.0,2019-2020
Atlético Madrid,38,18,16,4,51,27,24,70,42236.0,26.1,48.6,168662987.0,2019-2020
Sevilla,38,19,13,6,54,34,20,70,25016.0,27.7,57.9,66762006.0,2019-2020
Villarreal,38,18,6,14,63,49,14,60,11321.0,27.6,52.9,60525042.0,2019-2020
Real Sociedad,38,16,8,14,56,48,8,56,21204.0,24.8,56.2,39837075.0,2019-2020
Granada,38,16,8,14,52,45,7,56,11174.0,26.8,43.8,22349118.0,2019-2020
Getafe,38,14,12,12,43,37,6,54,8000.0,27.5,45.0,26965696.0,2019-2020
Valencia,38,14,11,13,46,53,-7,53,29658.0,27.0,49.0,76779876.0,2019-2020
Osasuna,38,13,13,12,46,54,-8,52,11453.0,27.7,47.4,14451004.0,2019-2020
Athletic Club,38,13,12,13,41,38,3,51,28039.0,26.7,48.7,49253671.0,2019-2020
Levante,38,14,7,17,47,53,-6,49,13196.0,27.7,48.3,19108346.0,2019-2020
Valladolid,38,9,15,14,32,43,-11,42,13580.0,27.1,44.7,15378396.0,2019-2020
Eibar,38,11,9,18,39,56,-17,42,4151.0,29.3,46.3,18833186.0,2019-2020
Betis,38,10,11,17,48,60,-12,41,35969.0,27.5,56.7,36912224.0,2019-2020
Alavés,38,10,9,19,34,59,-25,39,12177.0,27.6,41.5,24830655.0,2019-2020
