index,Season,League Rank,Squad,# of Players,Avg Age,Avg Poss,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Annual Wages ($),League
0,2012-2013,2,Juventus,40,27.8,,38,27,6,5,71,24,47,87,2.29,38600,93797005.0,Serie A
1,2012-2013,5,Napoli,41,28.5,,38,23,9,6,73,36,37,78,2.05,39636,55297000.0,Serie A
2,2012-2013,3,Milan,42,26.9,,38,21,9,8,67,39,28,72,1.89,43651,91814825.0,Serie A
3,2012-2013,7,Fiorentina,41,26.8,,38,21,7,10,72,44,28,70,1.84,25665,41952750.0,Serie A
4,2012-2013,16,Udinese,49,26.3,,38,18,12,8,59,45,14,66,1.74,15506,21233190.0,Serie A
5,2012-2013,4,Roma,37,26.0,,38,18,8,12,71,56,15,62,1.63,40179,70923037.0,Serie A
6,2012-2013,6,Lazio,55,29.1,,38,18,7,13,51,42,9,61,1.61,31992,54727318.0,Serie A
7,2012-2013,18,Catania,38,27.9,,38,15,11,12,50,46,4,56,1.47,13862,17062985.0,Serie A
8,2012-2013,1,Inter,55,28.2,,38,16,6,16,55,57,-2,54,1.42,46551,94078274.0,Serie A
9,2012-2013,13,Parma,42,28.1,,38,13,10,15,45,46,-1,49,1.29,12740,22968739.0,Serie A
10,2012-2013,19,Cagliari,34,26.1,,38,12,11,15,43,55,-12,47,1.24,8551,14912660.0,Serie A
11,2012-2013,17,Chievo,47,28.6,,38,12,9,17,37,52,-15,45,1.18,11553,18228850.0,Serie A
12,2012-2013,12,Bologna,49,26.8,,38,11,11,16,46,52,-6,44,1.16,21436,26574357.0,Serie A
13,2012-2013,9,Sampdoria,37,25.0,,38,11,10,17,43,51,-8,42,1.11,23123,28876527.0,Serie A
14,2012-2013,11,Atalanta,43,27.7,,38,11,9,18,39,56,-17,40,1.05,15396,27440598.0,Serie A
15,2012-2013,14,Torino,38,27.7,,38,8,16,14,46,55,-9,39,1.03,15615,22103512.0,Serie A
16,2012-2013,8,Genoa,46,27.7,,38,8,14,16,38,52,-14,38,1.0,19740,40235544.0,Serie A
17,2012-2013,10,Palermo,52,26.9,,38,6,14,18,34,54,-20,32,0.84,18287,28836783.0,Serie A
18,2012-2013,15,Siena,48,28.9,,38,9,9,20,36,57,-21,30,0.79,9582,21818162.0,Serie A
19,2012-2013,20,Pescara,52,25.8,,38,6,4,28,27,84,-57,22,0.58,12236,13245394.0,Serie A
0,2013-2014,2,Juventus,48,28.3,,38,33,3,2,80,23,57,102,2.68,38328,82943461.0,Serie A
1,2013-2014,4,Roma,59,27.5,,38,26,7,5,72,25,47,85,2.24,40436,63471293.0,Serie A
2,2013-2014,6,Napoli,36,27.1,,38,23,9,6,77,39,38,78,2.05,40632,52276352.0,Serie A
3,2013-2014,5,Fiorentina,56,27.7,,38,19,8,11,65,44,21,65,1.71,32057,53535974.0,Serie A
4,2013-2014,3,Inter,63,27.6,,38,15,15,8,62,39,23,60,1.58,46246,65966077.0,Serie A
5,2013-2014,9,Parma,48,29.5,,38,15,13,10,58,46,12,58,1.53,13451,23807466.0,Serie A
6,2013-2014,11,Torino,43,27.1,,38,15,12,11,58,48,10,57,1.5,17024,21334085.0,Serie A
7,2013-2014,1,Milan,47,28.0,,38,16,9,13,57,49,8,57,1.5,39874,89816346.0,Serie A
8,2013-2014,7,Lazio,54,28.0,,38,15,11,12,54,54,0,56,1.47,31905,44944861.0,Serie A
9,2013-2014,18,Hellas Verona,54,28.4,,38,16,6,16,62,68,-6,54,1.42,21172,15446676.0,Serie A
10,2013-2014,14,Atalanta,62,28.4,,38,15,5,18,43,51,-8,50,1.32,14194,19020699.0,Serie A
11,2013-2014,12,Sampdoria,58,25.3,,38,12,9,17,48,62,-14,45,1.18,22158,20933571.0,Serie A
12,2013-2014,17,Udinese,63,25.8,,38,12,8,18,46,57,-11,44,1.16,14252,17134324.0,Serie A
13,2013-2014,8,Genoa,67,27.2,,38,11,11,16,41,50,-9,44,1.16,20055,34160620.0,Serie A
14,2013-2014,19,Cagliari,36,27.2,,38,9,12,17,34,53,-19,39,1.03,4194,12952909.0,Serie A
15,2013-2014,15,Chievo,72,28.9,,38,10,6,22,34,54,-20,36,0.95,9149,18592666.0,Serie A
16,2013-2014,10,Sassuolo,56,26.5,,38,9,7,22,43,72,-29,34,0.89,13753,23361100.0,Serie A
17,2013-2014,13,Catania,54,27.2,,38,8,8,22,34,66,-32,32,0.84,15197,19593439.0,Serie A
18,2013-2014,16,Bologna,64,28.6,,38,5,14,19,28,58,-30,29,0.76,21145,18327703.0,Serie A
19,2013-2014,20,Livorno,48,25.7,,38,6,7,25,39,77,-38,25,0.66,10982,11419148.0,Serie A
