,League Rank,Squad,# of Players,Avg Age,Avg Poss,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Annual Wages ($),Season
2,1,Manchester City,67,27.0,67.9,38,29,6,3,99,26,73,93,2.45,88.7,24.6,64.0,1.68,52774,"184,169,203",2021-2022
3,2,Liverpool,83,27.7,62.7,38,28,8,2,94,26,68,92,2.42,88.7,33.8,54.9,1.45,53352,"175,492,521",2021-2022
1,3,Chelsea,81,27.4,61.8,38,21,11,6,76,33,43,74,1.95,63.4,33.2,30.1,0.79,36443,"213,745,254",2021-2022
5,4,Tottenham,67,26.5,51.8,38,22,5,11,69,40,29,71,1.87,61.2,39.3,21.9,0.58,56523,"133,905,224",2021-2022
4,5,Arsenal,70,24.4,52.8,38,22,3,13,61,48,13,69,1.82,60.5,45.7,14.9,0.39,59665,"138,984,848",2021-2022
0,6,Manchester Utd,82,27.2,52.7,38,16,10,12,57,57,0,58,1.53,55.8,53.0,2.8,0.07,73150,"290,255,583",2021-2022
7,7,West Ham,77,28.2,47.9,38,16,8,14,60,51,9,56,1.47,51.4,53.5,-2.1,-0.06,58370,"90,602,030",2021-2022
8,8,Leicester City,82,26.5,52.0,38,14,10,14,62,59,3,52,1.37,47.8,59.3,-11.5,-0.3,32493,"90,376,000",2021-2022
12,10,Wolves,76,27.3,49.5,38,15,6,17,38,43,-5,51,1.34,37.5,56.9,-19.4,-0.51,30841,"69,595,717",2021-2022
14,9,Brighton,76,26.2,54.4,38,12,15,11,42,44,-2,51,1.34,46.2,42.9,3.3,0.09,30966,"56,471,332",2021-2022
11,11,Newcastle Utd,83,27.5,40.4,38,13,10,15,44,62,-18,49,1.29,38.1,57.1,-19.0,-0.5,51487,"83,327,721",2021-2022
9,12,Crystal Palace,78,27.1,51.1,38,11,15,12,50,46,4,48,1.26,46.4,40.7,5.7,0.15,24588,"88,650,389",2021-2022
19,13,Brentford,90,25.4,44.8,38,13,7,18,48,56,-8,46,1.21,45.8,48.5,-2.7,-0.07,16918,"25,677,627",2021-2022
10,14,Aston Villa,66,26.1,46.5,38,13,6,19,52,54,-2,45,1.18,44.0,49.0,-4.9,-0.13,41681,"86,876,165",2021-2022
13,15,Southampton,81,25.7,47.7,38,9,13,16,43,67,-24,40,1.05,44.8,60.0,-15.2,-0.4,30134,"63,896,331",2021-2022
6,16,Everton,86,26.7,40.0,38,11,6,21,43,66,-23,39,1.03,41.2,55.4,-14.2,-0.37,38446,"112,648,575",2021-2022
18,17,Leeds United,70,26.1,52.3,38,9,11,18,42,79,-37,38,1.0,44.4,67.8,-23.5,-0.62,36308,"28,934,417",2021-2022
16,18,Burnley,72,28.5,40.2,38,7,14,17,34,53,-19,35,0.92,39.7,57.1,-17.4,-0.46,19278,"48,025,544",2021-2022
15,19,Watford,88,28.4,40.7,38,6,5,27,34,77,-43,23,0.61,40.0,64.5,-24.5,-0.64,20614,"50,285,851",2021-2022
17,20,Norwich City,82,26.2,42.9,38,5,7,26,23,84,-61,22,0.58,32.3,75.5,-43.2,-1.14,26836,"38,060,731",2021-2022
