City,Club,Stadium,Cap,Country,Longitude,Latitude
Barnsley,Barnsley,Oakwell Stadium,"23,287",England,-1.4677254305581429,53.55214015
Birmingham,Aston Villa,Villa Park,"42,785",England,-87.9778368,41.8893116
Birmingham,Birmingham City,St Andrew's Stadium,"30,009",England,-1.8680410459264332,52.47556705
Blackburn,Blackburn Rovers,Ewood Park,"31,154",England,-2.4892582964443477,53.728608949999995
Blackpool,Blackpool,Bloomfield Road,"16,007",England,-2.3737364,51.3652935
Bolton,Bolton Wanderers,University of Bolton Stadium,"28,100",England,-2.5356647666666667,53.5805396
Bournemouth,Bournemouth,Vitality Stadium,"11,464",England,-1.8383279465003122,50.73518145
Bradford,Bradford City,Coral Windows Stadium,"25,136",England,-78.711268,26.536886
Brighton,Brighton & Hove Albion,The Amex,"31,800",England,32.009986,1.807085
Bristol,Bristol City,Ashton Gate Stadium,"27,000",England,-2.620340547304729,51.43986935
Bristol,Bristol Rovers,Memorial Stadium,"11,000",England,-88.23674977880262,40.09928615
Burnley,Burnley,Turf Moor,"21,401",England,-2.229894614670683,53.78935525
Bury,Bury,Gigg Lane,"11,840",England,-2.2949211854338767,53.580553800000004
Coventry,Coventry City,Coventry Building Society Arena,"32,604",England,-1.4971183945757918,52.44816495
Dagenham,Dagenham & Redbridge,Victoria Road,"6,078",England,-61.2208889,46.2913469
Derby,Derby County,The iPro Stadium,"33,010",England,-54.715325,-61.116337
Doncaster,Doncaster Rovers,Keepmoat Stadium,"15,231",England,-1.1137713027142797,53.50977845
Fleetwood,Fleetwood Town,Highbury Stadium,"5,094",England,-3.0246935646844704,53.916397
Gillingham,Gillingham FC,Priestfield Stadium,"10,500",England,0.5609504058793893,51.38421135
Huddersfield,Huddersfield Town,John Smith's Stadium,"24,554",England,-1.768299880405195,53.654349350000004
Hull,Hull City,MKM Stadium,"25,586",England,-0.36773541082765915,53.74624785
Ipswich,Ipswich Town,Portman Road,"30,311",England,-1.88336,52.4288748
Leeds,Leeds United,Elland Road,"39,460",England,-1.8251016,53.6977431
Leicester,Leicester City,King Power Stadium,"32,312",England,-1.1423352051152724,52.62039695
Liverpool,Everton,Goodison Park,"40,157",England,-2.9664539939087415,53.4387191
Liverpool,Liverpool,Anfield,"54,074",England,-2.9609095414165294,53.4308358
London,Arsenal,Emirates Stadium,"60,361",England,-0.1083996708672374,51.55504035
London,Brentford,Brentford Community Stadium,"17,250",England,-0.2889802136183117,51.49071295
London,Charlton Athletic,The Valley,"27,111",England,-63.0517759,18.2145861
London,Chelsea,Stamford Bridge,"41,837",England,-0.9131156,53.9907008
London,Crystal Palace,Selhurst Park,"26,225",England,-0.085255058181276,51.39824295
London,Fulham,Craven Cottage,"25,700",England,-0.22179448481912376,51.4749491
London,Leyton Orient,The Matchroom Stadium,"9,271",England,-54.715325,-61.116337
London,Millwall,The Den,"19,734",England,-0.05091494800567984,51.4859529
London,Queens Park Rangers,Loftus Road,"18,439",England,0.0768939,51.5420495
London,Tottenham Hotspur,Tottenham Hotspur Stadium,"62,303",England,-0.0662604100000004,51.604157
London,West Ham United,London Stadium,"60,000",England,-0.016623759002470637,51.53862065
London,--,Wembley Stadium,"90,000",England,-0.27960339379401444,51.55606945
Luton,Luton Town,Kenilworth Road,"10,226",England,-1.5451903642634965,52.321457550000005
Manchester,Manchester City,Etihad Stadium,"55,000",England,-2.2002520023433307,53.48309105
Manchester,Manchester United,Old Trafford,"75,811",England,-2.2913864850545362,53.46310955
Middlesbrough,Middlesbrough,Riverside Stadium,"34,742",England,-1.2169383040174622,54.57831335
Newcastle-upon-Tyne,Newcastle United,St James Park,"52,339",England,-1.621873666214279,54.9754693
Norwich,Norwich City,Carrow Road,"27,010",England,1.3101317640023948,52.6219835
Nottingham,Nottingham Forest,City Ground,"30,567",England,73.9088585,18.5338564
Nottingham,Notts County,Meadow Lane,"20,300",England,-83.7540931,39.9192268
Oxford,Oxford United,The Kassam Stadium,"12,500",England,-1.2057989,51.7164483
Peterborough,Peterborough,ABAX Stadium,"14,084",England,19.434426,51.753926
Portsmouth,Portsmouth,Fratton Park,"21,178",England,-1.0638835851982424,50.79632375
Preston,Preston North End,Deepdale,"23,404",England,-2.6885606165868783,53.77221405
Reading,Reading,Madejski Stadium,"24,161",England,-0.983123793539842,51.422334649999996
Rochdale,Rochdale AFC,Crown Oil Arena,"12,249",England,-2.1799129247624105,53.6207953
Rotherham,Rotherham United,New York Stadium,"12,000",England,-1.3626780163091192,53.4267854
Scunthorpe,Scunthorpe United,Glanford Park,"9,088",England,-0.6953255436676132,53.58681285
Sheffield,Sheffield United,Bramall Lane,"32,609",England,-1.4697008060650654,53.3703478
Sheffield,Sheffield Wednesday,Hillsborough,"39,732",England,-64.6455554,45.9228677
Shrewsbury,Shrewsbury Town,Montgomery Waters Stadium,"9,875",England,-112.0632,33.45393
Southampton,Southampton,St Mary's Stadium,"32,689",England,-1.390881661218431,50.90582665
Southend-on-Sea,Southend United,Roots Hall Stadium,"13,392",England,0.7015486259335015,51.5490442
Stevenage,Stevenage FC,The Lamex Stadium,"6,490",England,-0.19374052554511628,51.88964785
Stoke-on-Trent,Stoke City,bet365 Stadium,"27,743",England,-2.1755918764705897,52.9883401
Sunderland,Sunderland,Stadium of Light,"49,000",England,-1.3882579326202478,54.914395299999995
Watford,Watford,Vicarage Road,"21,500",England,1.2850081,52.6460002
West Bromwich,West Bromwich Albion,The Hawthorns,"26,287",England,-1.9636560652183848,52.50916535
Wigan,Wigan Athletic,DW Stadium,"25,133",England,-2.6540131151502147,53.54773325
Wolverhampton,Wolverhampton Wanderers,Molineux Stadium,"31,700",England,-2.130407903777414,52.590272299999995
Ajaccio,AC Ajaccio,Stade Francois Coty,"10,660",France,8.776781748335996,41.9309393
Amiens,Amiens SC,Stade de la Licorne,"12,097",France,2.2634741610877613,49.89399225
Angers,Angers SCO,Stade Raymond Kopa,"16,500",France,-0.5306947870542803,47.4605516
Annecy,FC Annecy,Parc des Sports,"15,660",France,4.844988715060829,43.928271949999996
Auxerre,AJ Auxerre,Stade Abbe Deschamps,"21,379",France,3.5886237208803844,47.78678475
Bastia,SC Bastia,Stade Armand Cesari,"16,480",France,9.442719426573849,42.6514849
