"ID","City","Club","Stadium","Cap","Country"
67,"Barnsley","Barnsley","Oakwell Stadium","23,287","England"
68,"Birmingham","Aston Villa","Villa Park","42,785","England"
69,"Birmingham","Birmingham City","St Andrew's Stadium","30,009","England"
70,"Blackburn","Blackburn Rovers","Ewood Park","31,154","England"
71,"Blackpool","Blackpool","Bloomfield Road","16,007","England"
72,"Bolton","Bolton Wanderers","University of Bolton Stadium","28,100","England"
73,"Bournemouth","Bournemouth","Vitality Stadium","11,464","England"
74,"Bradford","Bradford City","Coral Windows Stadium","25,136","England"
75,"Brighton","Brighton & Hove Albion","The Amex","31,800","England"
76,"Bristol","Bristol City","Ashton Gate Stadium","27,000","England"
77,"Bristol","Bristol Rovers","Memorial Stadium","11,000","England"
78,"Burnley","Burnley","Turf Moor","21,401","England"
79,"Bury","Bury","Gigg Lane","11,840","England"
80,"Coventry","Coventry City","Coventry Building Society Arena","32,604","England"
81,"Dagenham","Dagenham & Redbridge","Victoria Road","6,078","England"
82,"Derby","Derby County","The iPro Stadium","33,010","England"
83,"Doncaster","Doncaster Rovers","Keepmoat Stadium","15,231","England"
84,"Fleetwood","Fleetwood Town","Highbury Stadium","5,094","England"
85,"Gillingham","Gillingham FC","Priestfield Stadium","10,500","England"
86,"Huddersfield","Huddersfield Town","John Smith's Stadium","24,554","England"
87,"Hull","Hull City","MKM Stadium","25,586","England"
88,"Ipswich","Ipswich Town","Portman Road","30,311","England"
89,"Leeds","Leeds United","Elland Road","39,460","England"
90,"Leicester","Leicester City","King Power Stadium","32,312","England"
91,"Liverpool","Everton","Goodison Park","40,157","England"
92,"Liverpool","Liverpool","Anfield","54,074","England"
93,"London","Arsenal","Emirates Stadium","60,361","England"
94,"London","Brentford","Brentford Community Stadium","17,250","England"
95,"London","Charlton Athletic","The Valley","27,111","England"
96,"London","Chelsea","Stamford Bridge","41,837","England"
97,"London","Crystal Palace","Selhurst Park","26,225","England"
98,"London","Fulham","Craven Cottage","25,700","England"
99,"London","Leyton Orient","The Matchroom Stadium","9,271","England"
100,"London","Millwall","The Den","19,734","England"
101,"London","Queens Park Rangers","Loftus Road","18,439","England"
102,"London","Tottenham Hotspur","Tottenham Hotspur Stadium","62,303","England"
103,"London","West Ham United","London Stadium","60,000","England"
104,"London","--","Wembley Stadium","90,000","England"
105,"Luton","Luton Town","Kenilworth Road","10,226","England"
106,"Manchester","Manchester City","Etihad Stadium","55,000","England"
107,"Manchester","Manchester United","Old Trafford","75,811","England"
108,"Middlesbrough","Middlesbrough","Riverside Stadium","34,742","England"
109,"Newcastle-upon-Tyne","Newcastle United","St James Park","52,339","England"
110,"Norwich","Norwich City","Carrow Road","27,010","England"
111,"Nottingham","Nottingham Forest","City Ground","30,567","England"
112,"Nottingham","Notts County","Meadow Lane","20,300","England"
113,"Oxford","Oxford United","The Kassam Stadium","12,500","England"
114,"Peterborough","Peterborough","ABAX Stadium","14,084","England"
115,"Portsmouth","Portsmouth","Fratton Park","21,178","England"
116,"Preston","Preston North End","Deepdale","23,404","England"
117,"Reading","Reading","Madejski Stadium","24,161","England"
118,"Rochdale","Rochdale AFC","Crown Oil Arena","12,249","England"
119,"Rotherham","Rotherham United","New York Stadium","12,000","England"
120,"Scunthorpe","Scunthorpe United","Glanford Park","9,088","England"
121,"Sheffield","Sheffield United","Bramall Lane","32,609","England"
122,"Sheffield","Sheffield Wednesday","Hillsborough","39,732","England"
123,"Shrewsbury","Shrewsbury Town","Montgomery Waters Stadium","9,875","England"
124,"Southampton","Southampton","St Mary's Stadium","32,689","England"
125,"Southend-on-Sea","Southend United","Roots Hall Stadium","13,392","England"
126,"Stevenage","Stevenage FC","The Lamex Stadium","6,490","England"
127,"Stoke-on-Trent","Stoke City","bet365 Stadium","27,743","England"
128,"Sunderland","Sunderland","Stadium of Light","49,000","England"
129,"Watford","Watford","Vicarage Road","21,500","England"
130,"West Bromwich","West Bromwich Albion","The Hawthorns","26,287","England"
131,"Wigan","Wigan Athletic","DW Stadium","25,133","England"
132,"Wolverhampton","Wolverhampton Wanderers","Molineux Stadium","31,700","England"
133,"Ajaccio","AC Ajaccio","Stade Francois Coty","10,660","France"
134,"Amiens","Amiens SC","Stade de la Licorne","12,097","France"
135,"Angers","Angers SCO","Stade Raymond Kopa","16,500","France"
136,"Annecy","FC Annecy","Parc des Sports","15,660","France"
137,"Auxerre","AJ Auxerre","Stade Abbe Deschamps","21,379","France"
138,"Bastia","SC Bastia","Stade Armand Cesari","16,480","France"
139,"Bordeaux","Girondins de Bordeaux","Matmut Atlantique","42,115","France"
140,"Bordeaux","--","Stade Chaban-Delmas","34,263","France"
141,"Bourg-en-Bresse","FBBP 01","Stade Marcel Verchere","11,500","France"
142,"Brest","Stade Brestois 29","Stade Francis-Le Ble","15,097","France"
143,"Caen","Stade Malherbe Caen","Stade Michel d'Ornano","21,000","France"
144,"Chateauroux","Le Berrichonne de Chateauroux","Stade Gaston Petit","17,000","France"
145,"Dijon","Dijon FCO","Stade Gaston-Gerard","16,000","France"
146,"Grenoble","Grenoble Foot 38","Stade des Alpes","20,000","France"
147,"Guingamp","EA Guingamp","Stade du Roudourou","18,250","France"
148,"Le Havre","Havre AC","Stade Oceane","25,278","France"
149,"Le Mans","Le Mans FC","MMArena","25,000","France"
150,"Lens","RC Lens","Stade Bollaert-Delelis","38,223","France"
151,"Lille","Lille OSC","Stade Pierre Mauroy","50,000","France"
152,"Lorient","FC Lorient","Stade du Moustoir","14,340","France"
153,"Lyon","Olympique Lyonnais","Groupama Stadium","59,186","France"
154,"Lyon","--","Stade Gerland","40,494","France"
155,"Marseille","Olympique de Marseille","Orange Velodrome","67,000","France"
156,"Metz","FC Metz","Stade Saint-Symphorien","26,600","France"
157,"Monaco","AS Monaco FC","Stade Louis II","18,523","France"
158,"Montbeliard","FC Sochaux","Stade Auguste Bonal","20,000","France"
159,"Montpellier","Montpellier HSC","Stade de la Mosson","32,900","France"
160,"Nancy","AS Nancy Lorraine","Stade Marcel-Picot","20,087","France"
161,"Nantes","FC Nantes","Stade de La Beaujoire","37,473","France"
162,"Nice","OGC Nice","Allianz Riviera","35,624","France"
163,"Nimes","Nimes Olympique","Stade des Costieres","29,487","France"
164,"Niort","Chamois Niortais","Stade Rene Gaillard","11,352","France"
165,"Paris","Paris FC","Stade Charlety","20,000","France"
166,"Paris","Paris Saint-Germain","Parc des Princes","48,527","France"
167,"Reims","Stade de Reims","Stade Auguste Delaune","21,684","France"
168,"Rennes","Stade Rennais FC","Roazhon Park","29,778","France"
169,"Saint-Denis","--","Stade de France","80,000","France"
170,"Saint-Etienne","AS Saint-Etienne","Stade Geoffroy Guichard","41,500","France"
171,"Strasbourg","RC Strasbourg Alsace","Stade de la Meinau","27,500","France"
172,"Toulouse","Toulouse FC","Stadium de Toulouse","35,472","France"
173,"Troyes","ES Troyes AC","Stade de l'Aube","20,400","France"
174,"Valenciennes","Valenciennes FC","Stade du Hainaut","24,926","France"
175,"Aachen","Alemannia Aachen","Tivoli","32,960","Germany"
176,"Aue","Erzgebirge Aue","Erzgebirgsstadion","16,485","Germany"
177,"Augsburg","FC Augsburg","WWK Arena","30,660","Germany"
178,"Berlin","FC Union Berlin","Stadion An der Alten Försterei","22,012","Germany"
179,"Berlin","Hertha BSC","Olympiastadion","74,649","Germany"
180,"Bielefeld","Arminia Bielefeld","SchucoArena","26,515","Germany"
181,"Bochum","VFL Bochum","Vonovia Ruhrstadion","29,299","Germany"
182,"Bremen","Werder Bremen","Weserstadion","42,100","Germany"
183,"Brunswick","Eintracht Braunschweig","Eintracht-Stadion","23,325","Germany"
184,"Cologne","1. FC Koln","RheinEnergieStadion","50,000","Germany"
185,"Cottbus","Energie Cottbus","Stadion der Freundschaft","22,528","Germany"
186,"Darmstadt","SV Darmstadt 98","Stadion am Bollenfalltor","17,400","Germany"
187,"Dortmund","Borussia Dortmund","Signal Iduna Park","81,359","Germany"
188,"Dresden","Dynamo Dresden","Rudolf-Harbig-Stadion","32,249","Germany"
189,"Duisburg","MSV Duisburg","Schauinsland-Reisen-Stadion","31,500","Germany"
190,"Dusseldorf","Fortuna Dusseldorf","Merkur Spiel Arena","54,600","Germany"
