Player,Squad,MP,Starts,Min,90s,Goals,Goals,Seasons,League
David Abraham,Eint Frankfurt,27,27,"2,302",25.6,0,0.00,2017-2018,Bundesliga
Amir Abrashi,Freiburg,12,11,850,9.4,0,0.00,2017-2018,Bundesliga
René Adler,Mainz 05,14,14,"1,260",14.0,0,0.00,2017-2018,Bundesliga
Ailton,Stuttgart,5,1,108,1.2,0,0.00,2017-2018,Bundesliga
Manuel Akanji,Dortmund,11,10,904,10.0,0,0.00,2017-2018,Bundesliga
Chadrac Akolo,Stuttgart,22,13,"1,102",12.2,5,0.41,2017-2018,Bundesliga
Kevin Akpoguma,Hoffenheim,22,17,"1,690",18.8,0,0.00,2017-2018,Bundesliga
David Alaba,Bayern Munich,23,17,"1,551",17.2,2,0.12,2017-2018,Bundesliga
Lucas Alario,Leverkusen,23,17,"1,550",17.2,9,0.52,2017-2018,Bundesliga
Miiko Albornoz,Hannover 96,10,7,703,7.8,0,0.00,2017-2018,Bundesliga
Thiago Alcántara,Bayern Munich,19,12,"1,247",13.9,2,0.14,2017-2018,Bundesliga
Stephan Ambrosius,Hamburger SV,1,1,45,0.5,0,0.00,2017-2018,Bundesliga
Nadiem Amiri,Hoffenheim,28,19,"1,744",19.4,2,0.10,2017-2018,Bundesliga
Waldemar Anton,Hannover 96,27,26,"2,278",25.3,1,0.04,2017-2018,Bundesliga
Dennis Aogo,Stuttgart,29,22,"1,954",21.7,0,0.00,2017-2018,Bundesliga
Charles Aránguiz,Leverkusen,27,27,"2,302",25.6,1,0.04,2017-2018,Bundesliga
Maximilian Arnold,Wolfsburg,29,28,"2,454",27.3,2,0.07,2017-2018,Bundesliga
Jann-Fiete Arp,Hamburger SV,18,8,850,9.4,2,0.21,2017-2018,Bundesliga
Takuma Asano,Stuttgart,15,7,721,8.0,1,0.12,2017-2018,Bundesliga
Santiago Ascacíbar,Stuttgart,29,27,"2,381",26.5,0,0.00,2017-2018,Bundesliga
Simon Asta,Augsburg,1,0,11,0.1,0,0.00,2017-2018,Bundesliga
Pierre-Emerick Aubameyang,Dortmund,16,16,"1,416",15.7,13,0.83,2017-2018,Bundesliga
Jean-Kévin Augustin,RB Leipzig,25,14,"1,266",14.1,9,0.64,2017-2018,Bundesliga
Ludwig Augustinsson,Werder Bremen,29,29,"2,532",28.1,1,0.04,2017-2018,Bundesliga
Yann Aurel Bisseck,Köln,3,1,156,1.7,0,0.00,2017-2018,Bundesliga
,,,,,,,,2017-2018,Bundesliga
Holger Badstuber,Stuttgart,27,24,"2,173",24.1,2,0.08,2017-2018,Bundesliga
Daniel Baier,Augsburg,29,29,"2,538",28.2,0,0.00,2017-2018,Bundesliga
Leon Bailey,Leverkusen,30,25,"2,215",24.6,9,0.37,2017-2018,Bundesliga
Marvin Bakalorz,Hannover 96,28,23,"2,055",22.8,0,0.00,2017-2018,Bundesliga
Ridle Baku,Mainz 05,3,3,233,2.6,2,0.77,2017-2018,Bundesliga
Leon Balogun,Mainz 05,14,14,"1,173",13.0,0,0.00,2017-2018,Bundesliga
Philipp Bargfrede,Werder Bremen,27,23,"1,859",20.7,1,0.05,2017-2018,Bundesliga
Aymen Barkok,Eint Frankfurt,9,2,314,3.5,0,0.00,2017-2018,Bundesliga
Fin Bartels,Werder Bremen,14,14,"1,121",12.5,2,0.16,2017-2018,Bundesliga
Marc Bartra,Dortmund,12,9,807,9.0,2,0.22,2017-2018,Bundesliga
Michy Batshuayi,Dortmund,10,9,839,9.3,7,0.75,2017-2018,Bundesliga
Robert Bauer,Werder Bremen,16,12,956,10.6,0,0.00,2017-2018,Bundesliga
Oliver Baumann,Hoffenheim,34,34,"3,060",34.0,0,0.00,2017-2018,Bundesliga
Timo Baumgartl,Stuttgart,29,29,"2,610",29.0,0,0.00,2017-2018,Bundesliga
Julian Baumgartlinger,Leverkusen,22,17,"1,393",15.5,1,0.06,2017-2018,Bundesliga
Noah Joel Sarenren Bazee,Hannover 96,7,0,118,1.3,0,0.00,2017-2018,Bundesliga
Riechedly Bazoer,Wolfsburg,13,6,592,6.6,0,0.00,2017-2018,Bundesliga
Ihlas Bebou,Hannover 96,30,20,"2,140",23.8,5,0.21,2017-2018,Bundesliga
Andreas Beck,Stuttgart,23,22,"1,927",21.4,1,0.05,2017-2018,Bundesliga
Ishak Belfodil,Werder Bremen,26,13,"1,350",15.0,4,0.27,2017-2018,Bundesliga
Stefan Bell,Mainz 05,25,24,"2,177",24.2,1,0.04,2017-2018,Bundesliga
Karim Bellarabi,Leverkusen,24,13,"1,146",12.7,1,0.08,2017-2018,Bundesliga
Lars Bender,Leverkusen,21,20,"1,595",17.7,2,0.11,2017-2018,Bundesliga
Sven Bender,Leverkusen,29,29,"2,345",26.1,2,0.08,2017-2018,Bundesliga
László Bénes,M'Gladbach,2,0,38,0.4,0,0.00,2017-2018,Bundesliga
,,,,,,,,2017-2018,Bundesliga
Marcel Benger,M'Gladbach,1,0,2,0.0,0,0.00,2017-2018,Bundesliga
Charlison Benschop,Hannover 96,7,2,184,2.0,1,0.49,2017-2018,Bundesliga
Nabil Bentaleb,Schalke 04,16,12,"1,011",11.2,4,0.36,2017-2018,Bundesliga
Emil Berggreen,Mainz 05,14,6,669,7.4,4,0.54,2017-2018,Bundesliga
Bernardo,RB Leipzig,18,15,"1,350",15.0,1,0.07,2017-2018,Bundesliga
Juan Bernat,Bayern Munich,11,11,888,9.9,0,0.00,2017-2018,Bundesliga
Ermin Bičakčić,Hoffenheim,9,7,548,6.1,0,0.00,2017-2018,Bundesliga
Leonardo Bittencourt,Köln,22,17,"1,613",17.9,5,0.28,2017-2018,Bundesliga
Pablo de Blasis,Mainz 05,25,20,"1,652",18.4,5,0.27,2017-2018,Bundesliga
Danny Blum,Eint Frankfurt,2,0,29,0.3,1,3.10,2017-2018,Bundesliga
Jérôme Boateng,Bayern Munich,19,19,"1,640",18.2,1,0.05,2017-2018,Bundesliga
Kevin-Prince Boateng,Eint Frankfurt,31,27,"2,357",26.2,6,0.23,2017-2018,Bundesliga
Raúl Bobadilla,M'Gladbach,13,5,449,5.0,0,0.00,2017-2018,Bundesliga
Julian Brandt,Leverkusen,34,26,"2,326",25.8,9,0.35,2017-2018,Bundesliga
Josip Brekalo,Wolfsburg,13,10,869,9.7,3,0.31,2017-2018,Bundesliga
Josip Brekalo,Stuttgart,14,7,726,8.1,1,0.12,2017-2018,Bundesliga
John Brooks,Wolfsburg,9,9,727,8.1,0,0.00,2017-2018,Bundesliga
Daniel Brosinski,Mainz 05,29,28,"2,500",27.8,1,0.04,2017-2018,Bundesliga
Bruma,RB Leipzig,28,16,"1,611",17.9,4,0.22,2017-2018,Bundesliga
Jeffrey Bruma,Wolfsburg,11,11,990,11.0,0,0.00,2017-2018,Bundesliga
Jacob Bruun Larsen,Stuttgart,4,1,107,1.2,0,0.00,2017-2018,Bundesliga
Jacob Bruun Larsen,Dortmund,1,0,7,0.1,0,0.00,2017-2018,Bundesliga
Onur Bulut,Freiburg,1,0,39,0.4,0,0.00,2017-2018,Bundesliga
Guido Burgstaller,Schalke 04,32,24,"2,324",25.8,11,0.43,2017-2018,Bundesliga
Roman Bürki,Dortmund,33,33,"2,969",33.0,0,0.00,2017-2018,Bundesliga
,,,,,,,,2017-2018,Bundesliga
Dženis Burnić,Stuttgart,6,3,305,3.4,0,0.00,2017-2018,Bundesliga
Jakub Błaszczykowski,Wolfsburg,9,6,520,5.8,1,0.17,2017-2018,Bundesliga
Caiuby,Augsburg,33,32,"2,855",31.7,5,0.16,2017-2018,Bundesliga
Luca Caldirola,Werder Bremen,1,1,90,1.0,0,0.00,2017-2018,Bundesliga
Daniel Caligiuri,Schalke 04,33,32,"2,917",32.4,6,0.19,2017-2018,Bundesliga
Ignacio Camacho,Wolfsburg,11,11,951,10.6,0,0.00,2017-2018,Bundesliga
Koen Casteels,Wolfsburg,34,34,"3,060",34.0,0,0.00,2017-2018,Bundesliga
Gonzalo Castro,Dortmund,19,16,"1,206",13.4,0,0.00,2017-2018,Bundesliga
Marijan Ćavar,Eint Frankfurt,1,0,32,0.4,0,0.00,2017-2018,Bundesliga
Timothy Chandler,Eint Frankfurt,24,22,"1,892",21.0,2,0.10,2017-2018,Bundesliga
Per Ciljan Skjelbred,Hertha BSC,28,24,"2,183",24.3,0,0.00,2017-2018,Bundesliga
Christian Clemens,Köln,14,6,646,7.2,1,0.14,2017-2018,Bundesliga
Coke,Schalke 04,1,0,2,0.0,0,0.00,2017-2018,Bundesliga
Kingsley Coman,Bayern Munich,21,10,"1,153",12.8,3,0.23,2017-2018,Bundesliga
Marvin Compper,RB Leipzig,2,1,90,1.0,0,0.00,2017-2018,Bundesliga
Jhon Córdoba,Köln,18,9,957,10.6,0,0.00,2017-2018,Bundesliga
Sergio Córdova,Augsburg,26,3,586,6.5,2,0.31,2017-2018,Bundesliga
Danny da Costa,Eint Frankfurt,17,13,"1,202",13.4,1,0.07,2017-2018,Bundesliga
Mickaël Cuisance,M'Gladbach,24,9,"1,207",13.4,0,0.00,2017-2018,Bundesliga
Mahmoud Dahoud,Dortmund,23,11,"1,146",12.7,0,0.00,2017-2018,Bundesliga
Kevin Danso,Augsburg,16,13,"1,105",12.3,2,0.16,2017-2018,Bundesliga
Palkó Dárdai,Hertha BSC,2,0,27,0.3,0,0.00,2017-2018,Bundesliga
Vladimír Darida,Hertha BSC,21,18,"1,635",18.2,0,0.00,2017-2018,Bundesliga
Thomas Delaney,Werder Bremen,32,31,"2,796",31.1,3,0.10,2017-2018,Bundesliga
Kerem Demirbay,Hoffenheim,19,13,"1,211",13.5,2,0.15,2017-2018,Bundesliga
,,,,,,,,2017-2018,Bundesliga
Diego Demme,RB Leipzig,30,25,"2,284",25.4,0,0.00,2017-2018,Bundesliga
Franco Di Santo,Schalke 04,30,22,"1,654",18.4,3,0.16,2017-2018,Bundesliga
Abdou Diallo,Mainz 05,27,27,"2,415",26.8,2,0.07,2017-2018,Bundesliga
Daniel Didavi,Wolfsburg,30,26,"2,237",24.9,9,0.36,2017-2018,Bundesliga
Dennis Diekmeier,Hamburger SV,22,22,"1,868",20.8,0,0.00,2017-2018,Bundesliga
Landry Dimata,Wolfsburg,21,9,902,10.0,0,0.00,2017-2018,Bundesliga
Giulio Donati,Mainz 05,29,26,"2,284",25.4,0,0.00,2017-2018,Bundesliga
Ji Dong-won,Augsburg,3,0,19,0.2,0,0.00,2017-2018,Bundesliga
Anastasios Donis,Stuttgart,18,11,949,10.5,2,0.19,2017-2018,Bundesliga
Niklas Dorsch,Bayern Munich,1,1,90,1.0,1,1.00,2017-2018,Bundesliga
Mohamed Dräger,Freiburg,2,0,52,0.6,0,0.00,2017-2018,Bundesliga
Aleksandar Dragović,Leverkusen,1,0,45,0.5,0,0.00,2017-2018,Bundesliga
Josip Drmić,M'Gladbach,13,4,467,5.2,4,0.77,2017-2018,Bundesliga
Rick van Drongelen,Hamburger SV,18,16,"1,440",16.0,0,0.00,2017-2018,Bundesliga
Ondrej Duda,Hertha BSC,17,9,744,8.3,1,0.12,2017-2018,Bundesliga
Mandela Egbo,M'Gladbach,1,0,11,0.1,0,0.00,2017-2018,Bundesliga
Johannes Eggestein,Werder Bremen,7,0,99,1.1,0,0.00,2017-2018,Bundesliga
