Player,Squad,MP,Starts,Min,90s,Goals,Goals,Seasons,League
Patrick van Aanholt,Crystal Palace,28,25,"2,184",24.3,5,0.21,2017-2018,EPL
Rolando Aarons,Newcastle Utd,4,1,139,1.5,0,0.00,2017-2018,EPL
Tammy Abraham,Swansea City,31,15,"1,726",19.2,5,0.26,2017-2018,EPL
Charlie Adam,Stoke City,11,5,411,4.6,0,0.00,2017-2018,EPL
Adrián,West Ham,19,19,"1,710",19.0,0,0.00,2017-2018,EPL
Ibrahim Afellay,Stoke City,6,1,166,1.8,0,0.00,2017-2018,EPL
Benik Afobe,Bournemouth,17,5,611,6.8,0,0.00,2017-2018,EPL
Sergio Agüero,Manchester City,25,22,"1,963",21.8,21,0.96,2017-2018,EPL
Nathan Aké,Bournemouth,38,37,"3,353",37.3,2,0.05,2017-2018,EPL
Marc Albrighton,Leicester City,34,30,"2,538",28.2,2,0.07,2017-2018,EPL
Toby Alderweireld,Tottenham,14,13,"1,178",13.1,0,0.00,2017-2018,EPL
Trent Alexander-Arnold,Liverpool,19,18,"1,573",17.5,1,0.06,2017-2018,EPL
Joe Allen,Stoke City,36,36,"3,139",34.9,2,0.06,2017-2018,EPL
Dele Alli,Tottenham,36,34,"2,958",32.9,9,0.27,2017-2018,EPL
Marcos Alonso,Chelsea,33,33,"2,855",31.7,7,0.22,2017-2018,EPL
Daniel Amartey,Leicester City,8,6,487,5.4,0,0.00,2017-2018,EPL
Ethan Ampadu,Chelsea,1,0,11,0.1,0,0.00,2017-2018,EPL
Nordin Amrabat,Watford,3,3,198,2.2,0,0.00,2017-2018,EPL
Michail Antonio,West Ham,21,16,"1,354",15.0,3,0.20,2017-2018,EPL
Scott Arfield,Burnley,18,15,"1,333",14.8,2,0.14,2017-2018,EPL
Marko Arnautović,West Ham,31,28,"2,313",25.7,11,0.43,2017-2018,EPL
Harry Arter,Bournemouth,13,11,960,10.7,1,0.09,2017-2018,EPL
Christian Atsu,Newcastle Utd,28,19,"1,784",19.8,2,0.10,2017-2018,EPL
Pierre-Emerick Aubameyang,Arsenal,13,12,"1,057",11.7,10,0.85,2017-2018,EPL
Serge Aurier,Tottenham,17,16,"1,429",15.9,2,0.13,2017-2018,EPL
,,,,,,,,2017-2018,EPL
Charlie Austin,Southampton,24,10,"1,037",11.5,7,0.61,2017-2018,EPL
André Ayew,West Ham,18,9,895,9.9,3,0.30,2017-2018,EPL
André Ayew,Swansea City,12,10,950,10.6,0,0.00,2017-2018,EPL
Jordan Ayew,Swansea City,36,33,"2,852",31.7,7,0.22,2017-2018,EPL
César Azpilicueta,Chelsea,37,37,"3,330",37.0,2,0.05,2017-2018,EPL
Eric Bailly,Manchester Utd,13,11,"1,001",11.1,1,0.09,2017-2018,EPL
Leighton Baines,Everton,22,22,"1,909",21.2,2,0.09,2017-2018,EPL
Tiemoué Bakayoko,Chelsea,29,24,"2,126",23.6,2,0.08,2017-2018,EPL
Sam Baldock,Brighton,2,0,32,0.4,0,0.00,2017-2018,EPL
