Player,Squad,MP,Starts,Min,90s,Goals,Goals,Seasons,League
Aly Abeid,Levante,1,1,77,0.9,0,0.00,2017-2018,La Liga
Antonio Adán,Betis,30,30,"2,700",30.0,0,0.00,2017-2018,La Liga
Aday,Girona,31,20,"1,835",20.4,2,0.10,2017-2018,La Liga
Aritz Aduriz,Athletic Club,33,21,"2,152",23.9,9,0.38,2017-2018,La Liga
Martin Agirregabiria,Alavés,21,20,"1,828",20.3,0,0.00,2017-2018,La Liga
Imanol Agirretxe,Real Sociedad,11,2,232,2.6,0,0.00,2017-2018,La Liga
Matías Aguirregaray,Las Palmas,15,14,"1,153",12.8,0,0.00,2017-2018,La Liga
Ager Aketxe,Athletic Club,3,0,37,0.4,0,0.00,2017-2018,La Liga
David Alba,Getafe,1,1,61,0.7,0,0.00,2017-2018,La Liga
Jordi Alba,Barcelona,33,30,"2,744",30.5,2,0.07,2017-2018,La Liga
Raúl Albentosa,La Coruña,20,19,"1,748",19.4,1,0.05,2017-2018,La Liga
Paco Alcácer,Barcelona,17,8,695,7.7,4,0.52,2017-2018,La Liga
Pedro Alcalá,Girona,8,8,689,7.7,1,0.13,2017-2018,La Liga
Steve Aldo One,La Coruña,1,1,90,1.0,0,0.00,2017-2018,La Liga
Álex Alegría,Levante,9,8,628,7.0,0,0.00,2017-2018,La Liga
Iván Alejo,Eibar,22,14,"1,102",12.2,1,0.08,2017-2018,La Liga
Alexander,Leganés,13,13,"1,060",11.8,2,0.17,2017-2018,La Liga
Alexis,Alavés,28,25,"2,184",24.3,1,0.04,2017-2018,La Liga
José Alonso Lara,Sevilla,1,0,10,0.1,0,0.00,2017-2018,La Liga
Sergio Álvarez,Celta Vigo,17,16,"1,476",16.4,0,0.00,2017-2018,La Liga
Yeray Álvarez,Athletic Club,8,7,675,7.5,0,0.00,2017-2018,La Liga
Eloi Amagat,Girona,2,0,15,0.2,0,0.00,2017-2018,La Liga
Jordi Amat,Betis,25,24,"2,045",22.7,0,0.00,2017-2018,La Liga
Amath,Getafe,37,36,"2,859",31.8,3,0.09,2017-2018,La Liga
Nordin Amrabat,Leganés,30,17,"1,623",18.0,2,0.11,2017-2018,La Liga
,,,,,,,,2017-2018,La Liga
Jon Ander Serantes,Leganés,1,1,90,1.0,0,0.00,2017-2018,La Liga
Florin Andone,La Coruña,29,16,"1,636",18.2,7,0.39,2017-2018,La Liga
Miguel Ángel Guerrero,Leganés,22,15,"1,442",16.0,4,0.25,2017-2018,La Liga
José Ángel,Eibar,30,28,"2,426",27.0,0,0.00,2017-2018,La Liga
Miguel Ángel Moyá,Real Sociedad,9,9,764,8.5,0,0.00,2017-2018,La Liga
Miguel Ángel Rubio,Getafe,1,0,29,0.3,0,0.00,2017-2018,La Liga
Vitorino Antunes,Getafe,34,31,"2,799",31.1,0,0.00,2017-2018,La Liga
Alberto Aquilani,Las Palmas,21,15,"1,297",14.4,0,0.00,2017-2018,La Liga
Mauro Arambarri,Getafe,27,26,"2,124",23.6,1,0.04,2017-2018,La Liga
Guilherme Arana,Sevilla,3,2,193,2.1,0,0.00,2017-2018,La Liga
Sergio Araujo,Las Palmas,2,0,39,0.4,0,0.00,2017-2018,La Liga
Anaitz Arbilla,Eibar,29,26,"2,414",26.8,2,0.07,2017-2018,La Liga
José Arnaiz,Barcelona,1,0,6,0.1,0,0.00,2017-2018,La Liga
Alejandro Arribas,La Coruña,3,3,270,3.0,0,0.00,2017-2018,La Liga
Kepa Arrizabalaga,Athletic Club,30,30,"2,700",30.0,0,0.00,2017-2018,La Liga
Aythami Artiles,Las Palmas,3,2,184,2.0,0,0.00,2017-2018,La Liga
Sergio Asenjo,Villarreal,23,23,"2,070",23.0,0,0.00,2017-2018,La Liga
Marco Asensio,Real Madrid,32,19,"1,844",20.5,6,0.29,2017-2018,La Liga
Iago Aspas,Celta Vigo,34,33,"2,936",32.6,22,0.67,2017-2018,La Liga
Carlos Bacca,Villarreal,35,30,"2,497",27.7,15,0.54,2017-2018,La Liga
Cédric Bakambu,Villarreal,15,15,"1,263",14.0,9,0.64,2017-2018,La Liga
Zakaria Bakkali,La Coruña,23,10,909,10.1,0,0.00,2017-2018,La Liga
Gareth Bale,Real Madrid,26,20,"1,799",20.0,16,0.80,2017-2018,La Liga
Mikel Balenziaga,Athletic Club,18,18,"1,549",17.2,0,0.00,2017-2018,La Liga
Éver Banega,Sevilla,31,25,"2,399",26.7,3,0.11,2017-2018,La Liga
,,,,,,,,2017-2018,La Liga
Léo Baptistão,Espanyol,36,31,"2,677",29.7,8,0.27,2017-2018,La Liga
Mariano Barbosa,Villarreal,13,12,"1,125",12.5,0,0.00,2017-2018,La Liga
Enis Bardhi,Levante,26,16,"1,580",17.6,9,0.51,2017-2018,La Liga
Antonio Barragán,Betis,29,28,"2,373",26.4,0,0.00,2017-2018,La Liga
Barri,Getafe,2,1,113,1.3,0,0.00,2017-2018,La Liga
Marc Bartra,Betis,16,16,"1,420",15.8,1,0.06,2017-2018,La Liga
Borja Bastón,Málaga,20,8,985,10.9,2,0.18,2017-2018,La Liga
Jon Bautista,Real Sociedad,11,1,181,2.0,1,0.50,2017-2018,La Liga
Paul Baysse,Málaga,15,13,"1,239",13.8,1,0.07,2017-2018,La Liga
Claudio Beauvue,Leganés,28,17,"1,672",18.6,2,0.11,2017-2018,La Liga
Bebé,Eibar,9,3,365,4.1,0,0.00,2017-2018,La Liga
Wissam Ben Yedder,Sevilla,25,18,"1,700",18.9,9,0.48,2017-2018,La Liga
Karim Benzema,Real Madrid,32,25,"2,150",23.9,5,0.21,2017-2018,La Liga
Markel Bergara,Getafe,18,18,"1,463",16.3,4,0.25,2017-2018,La Liga
Pedro Bigas,Las Palmas,12,11,894,9.9,0,0.00,2017-2018,La Liga
Rubén Blanco,Celta Vigo,22,22,"1,941",21.6,0,0.00,2017-2018,La Liga
Emmanuel Boateng,Levante,25,10,"1,276",14.2,6,0.42,2017-2018,La Liga
Daniele Bonera,Villarreal,15,14,"1,190",13.2,0,0.00,2017-2018,La Liga
Celso Borges,La Coruña,32,26,"2,300",25.6,3,0.12,2017-2018,La Liga
Ryad Boudebouz,Betis,27,15,"1,360",15.1,2,0.13,2017-2018,La Liga
Yassine Bounou,Girona,30,30,"2,655",29.5,0,0.00,2017-2018,La Liga
Eneko Bóveda,La Coruña,8,7,667,7.4,0,0.00,2017-2018,La Liga
Eneko Bóveda,Athletic Club,6,6,522,5.8,0,0.00,2017-2018,La Liga
Lucas Boyé,Celta Vigo,13,2,276,3.1,0,0.00,2017-2018,La Liga
Darko Brašanac,Leganés,23,13,"1,203",13.4,2,0.15,2017-2018,La Liga
,,,,,,,,2017-2018,La Liga
Alberto Bueno,Málaga,11,1,226,2.5,0,0.00,2017-2018,La Liga
Burgui,Alavés,23,12,"1,034",11.5,1,0.09,2017-2018,La Liga
Sergio Busquets,Barcelona,31,30,"2,593",28.8,1,0.03,2017-2018,La Liga
Unai Bustinza,Leganés,20,18,"1,637",18.2,2,0.11,2017-2018,La Liga
Erick Cabaco,Levante,14,12,"1,040",11.6,0,0.00,2017-2018,La Liga
Gustavo Cabral,Celta Vigo,26,20,"1,891",21.0,1,0.05,2017-2018,La Liga
Leandro Cabrera,Getafe,9,8,720,8.0,0,0.00,2017-2018,La Liga
Cala,Getafe,20,20,"1,800",20.0,2,0.10,2017-2018,La Liga
Carlos Calderón,Getafe,1,0,4,0.0,0,0.00,2017-2018,La Liga
Jonathan Calleri,Las Palmas,37,34,"3,109",34.5,9,0.26,2017-2018,La Liga
Víctor Camarasa,Betis,24,14,"1,252",13.9,1,0.07,2017-2018,La Liga
José Campaña,Levante,35,33,"2,734",30.4,1,0.03,2017-2018,La Liga
Joel Campbell,Betis,8,2,214,2.4,2,0.84,2017-2018,La Liga
Sergio Canales,Real Sociedad,36,20,"1,928",21.4,4,0.19,2017-2018,La Liga
João Cancelo,Valencia,1,1,90,1.0,0,0.00,2017-2018,La Liga
Ander Capa,Eibar,33,25,"2,249",25.0,0,0.00,2017-2018,La Liga
Lionel Carole,Sevilla,6,6,540,6.0,0,0.00,2017-2018,La Liga
Yannick Carrasco,Atlético Madrid,17,8,901,10.0,3,0.30,2017-2018,La Liga
Daniel Carriço,Sevilla,6,5,460,5.1,0,0.00,2017-2018,La Liga
Federico Cartabia,La Coruña,20,16,"1,324",14.7,2,0.14,2017-2018,La Liga
Dani Carvajal,Real Madrid,25,25,"2,222",24.7,0,0.00,2017-2018,La Liga
Casemiro,Real Madrid,30,30,"2,595",28.8,5,0.17,2017-2018,La Liga
Kiko Casilla,Real Madrid,10,10,900,10.0,0,0.00,2017-2018,La Liga
Dani Castellano,Las Palmas,24,23,"2,025",22.5,0,0.00,2017-2018,La Liga
Javi Castellano,Las Palmas,23,17,"1,566",17.4,0,0.00,2017-2018,La Liga
,,,,,,,,2017-2018,La Liga
Samu Castillejo,Villarreal,30,25,"2,074",23.0,6,0.26,2017-2018,La Liga
Chory Castro,Málaga,26,26,"2,061",22.9,4,0.17,2017-2018,La Liga
Jonny Castro,Celta Vigo,36,36,"3,202",35.6,2,0.06,2017-2018,La Liga
Rubén Castro,Betis,10,3,359,4.0,1,0.25,2017-2018,La Liga
Dani Ceballos,Real Madrid,12,4,401,4.5,2,0.45,2017-2018,La Liga
Emanuel Cecchini,Málaga,2,0,30,0.3,0,0.00,2017-2018,La Liga
Nereo Champagne,Leganés,2,2,180,2.0,0,0.00,2017-2018,La Liga
Charles,Eibar,30,18,"1,582",17.6,8,0.46,2017-2018,La Liga
Chema,Levante,25,23,"2,017",22.4,1,0.04,2017-2018,La Liga
Denis Cheryshev,Villarreal,24,9,926,10.3,2,0.19,2017-2018,La Liga
Leandro Chichizola,Las Palmas,27,27,"2,430",27.0,0,0.00,2017-2018,La Liga
Chuca,Villarreal,4,1,88,1.0,0,0.00,2017-2018,La Liga
Cifu,Málaga,2,1,108,1.2,0,0.00,2017-2018,La Liga
Jasper Cillessen,Barcelona,1,1,90,1.0,0,0.00,2017-2018,La Liga
Coke,Levante,17,16,"1,383",15.4,3,0.20,2017-2018,La Liga
Emre Çolak,La Coruña,26,17,"1,449",16.1,1,0.06,2017-2018,La Liga
Francis Coquelin,Valencia,9,7,657,7.3,1,0.14,2017-2018,La Liga
Sébastien Corchia,Sevilla,12,9,821,9.1,0,0.00,2017-2018,La Liga
Iñigo Córdoba,Athletic Club,30,18,"1,459",16.2,1,0.06,2017-2018,La Liga
Ángel Correa,Atlético Madrid,37,27,"2,253",25.0,8,0.32,2017-2018,La Liga
Joaquín Correa,Sevilla,21,15,"1,193",13.3,1,0.08,2017-2018,La Liga
Diego Costa,Atlético Madrid,15,13,"1,041",11.6,3,0.26,2017-2018,La Liga
Jaume Costa,Villarreal,30,29,"2,536",28.2,0,0.00,2017-2018,La Liga
Philippe Coutinho,Barcelona,18,16,"1,296",14.4,8,0.56,2017-2018,La Liga
Juan Cruz,Málaga,1,0,7,0.1,0,0.00,2017-2018,La Liga
,,,,,,,,2017-2018,La Liga
Iván Cuéllar,Leganés,35,35,"3,150",35.0,0,0.00,2017-2018,La Liga
Sergi Darder,Espanyol,35,32,"2,782",30.9,1,0.03,2017-2018,La Liga
Salem Al-Dawsari,Villarreal,1,0,34,0.4,0,0.00,2017-2018,La Liga
Ousmane Dembélé,Barcelona,17,12,925,10.3,3,0.29,2017-2018,La Liga
Ermedin Demirović,Alavés,3,2,182,2.0,1,0.49,2017-2018,La Liga
Gerard Deulofeu,Barcelona,10,5,503,5.6,1,0.18,2017-2018,La Liga
Adrián Diéguez,Alavés,6,6,435,4.8,0,0.00,2017-2018,La Liga
Lucas Digne,Barcelona,12,8,704,7.8,0,0.00,2017-2018,La Liga
Papakouli Diop,Espanyol,5,3,264,2.9,0,0.00,2017-2018,La Liga
Papakouli Diop,Eibar,15,12,940,10.4,0,0.00,2017-2018,La Liga
Djené,Getafe,36,36,"3,239",36.0,1,0.03,2017-2018,La Liga
Marko Dmitrović,Eibar,36,36,"3,240",36.0,0,0.00,2017-2018,La Liga
Jaume Doménech,Valencia,5,5,450,5.0,0,0.00,2017-2018,La Liga
Mauro dos Santos,Leganés,14,10,983,10.9,0,0.00,2017-2018,La Liga
Cheick Doukouré,Levante,19,12,"1,022",11.4,1,0.09,2017-2018,La Liga
Óscar Duarte,Espanyol,11,11,990,11.0,0,0.00,2017-2018,La Liga
Rubén Duarte,Alavés,24,24,"2,138",23.8,0,0.00,2017-2018,La Liga
Riza Durmisi,Betis,24,23,"2,080",23.1,2,0.09,2017-2018,La Liga
Hugo Duro,Getafe,2,0,19,0.2,0,0.00,2017-2018,La Liga
Aritz Elustondo,Real Sociedad,19,18,"1,596",17.7,3,0.17,2017-2018,La Liga
Rodrigo Ely,Alavés,31,30,"2,691",29.9,1,0.03,2017-2018,La Liga
Youssef En-Nesyri,Málaga,25,16,"1,596",17.7,4,0.23,2017-2018,La Liga
Sergi Enrich,Eibar,19,14,"1,330",14.8,3,0.20,2017-2018,La Liga
Javier Eraso,Leganés,34,31,"2,533",28.1,4,0.14,2017-2018,La Liga
Gonzalo Escalante,Eibar,28,16,"1,565",17.4,1,0.06,2017-2018,La Liga
,,,,,,,,2017-2018,La Liga
Sergio Escudero,Sevilla,27,26,"2,332",25.9,0,0.00,2017-2018,La Liga
Bernardo Espinosa,Girona,34,32,"2,868",31.9,0,0.00,2017-2018,La Liga
