Player,Squad,MP,Starts,Min,90s,Goals,Goals,Seasons,League
Aymen Abdennour,Marseille,8,6,499,5.5,0,0.00,2017-2018,Ligue 1
Mehdi Abeid,Dijon,19,14,"1,176",13.1,0,0.00,2017-2018,Ligue 1
Khaled Adénon,Amiens,34,32,"2,921",32.5,0,0.00,2017-2018,Ligue 1
Yacine Adli,Paris S-G,1,0,8,0.1,0,0.00,2017-2018,Ligue 1
Ruben Aguilar,Montpellier,31,27,"2,459",27.3,0,0.00,2017-2018,Ligue 1
Jean-Eudes Aholou,Strasbourg,35,35,"3,006",33.4,5,0.15,2017-2018,Ligue 1
Youssef Aït Bennasser,Caen,27,25,"2,047",22.7,0,0.00,2017-2018,Ligue 1
David Alcibiade,Nantes,3,2,208,2.3,0,0.00,2017-2018,Ligue 1
Júnior Alonso,Lille,34,30,"2,781",30.9,2,0.06,2017-2018,Ligue 1
Dani Alves,Paris S-G,25,23,"2,063",22.9,1,0.04,2017-2018,Ligue 1
Ibrahim Amadou,Lille,30,30,"2,405",26.7,0,0.00,2017-2018,Ligue 1
Morgan Amalfitano,Rennes,14,10,746,8.3,0,0.00,2017-2018,Ligue 1
Romain Amalfitano,Dijon,33,31,"2,703",30.0,0,0.00,2017-2018,Ligue 1
Jordan Amavi,Marseille,27,24,"2,193",24.4,0,0.00,2017-2018,Ligue 1
Kelvin Amian,Toulouse,36,35,"3,154",35.0,1,0.03,2017-2018,Ligue 1
Benjamin André,Rennes,34,34,"3,011",33.5,3,0.09,2017-2018,Ligue 1
Yoann Andreu,Angers,23,23,"2,070",23.0,1,0.04,2017-2018,Ligue 1
Houssem Aouar,Lyon,32,27,"2,433",27.0,6,0.22,2017-2018,Ligue 1
Luiz Araújo,Lille,34,24,"2,018",22.4,5,0.22,2017-2018,Ligue 1
Alphonse Areola,Paris S-G,34,34,"3,060",34.0,0,0.00,2017-2018,Ligue 1
Yoël Armougom,Caen,4,1,139,1.5,0,0.00,2017-2018,Ligue 1
Benoît Assou-Ekotto,Metz,13,13,"1,051",11.7,0,0.00,2017-2018,Ligue 1
Danilo Avelar,Amiens,21,20,"1,727",19.2,1,0.05,2017-2018,Ligue 1
