"League","Squad","SumOfMP","SumOfW","SumOfL","SumOfD","SumOfGF","SumOfGA","SumOfGD","SumOfGD1","SumOfPts","SumOfAnnual Wages ($)","Cluster_Label"
"LaLiga","Real Madrid",342.00,234.00,47.00,61.00,812.00,325.00,487.00,487.00,763.00,2111097019.00,"1st"
"LaLiga","Real Sociedad",342.00,136.00,118.00,88.00,476.00,435.00,41.00,41.00,496.00,296438191.00,"3rd"
"LaLiga","Sevilla",342.00,171.00,87.00,84.00,531.00,398.00,133.00,133.00,597.00,570730063.00,"3rd"
"LaLiga","Sporting Gijón",76.00,17.00,40.00,19.00,82.00,134.00,-52.00,-52.00,70.00,20775610.00,"6th"
"LaLiga","Valencia",342.00,131.00,110.00,101.00,483.00,430.00,53.00,53.00,494.00,548095601.00,"3rd"
"LaLiga","Valladolid",152.00,31.00,64.00,57.00,136.00,211.00,-75.00,-75.00,150.00,63202254.00,"5th"
"LaLiga","Villarreal",342.00,147.00,104.00,91.00,500.00,381.00,119.00,119.00,532.00,442679696.00,"3rd"
"Ligue1","Ajaccio",106.00,19.00,58.00,29.00,97.00,178.00,-81.00,-81.00,84.00,11686225.00,"6th"
"Ligue1","Amiens",76.00,21.00,35.00,20.00,68.00,94.00,-26.00,-26.00,83.00,24117276.00,"4th"
"Ligue1","Angers",258.00,70.00,116.00,72.00,273.00,365.00,-92.00,-92.00,282.00,78495961.00,"4th"
"Ligue1","Auxerre",30.00,7.00,15.00,8.00,27.00,51.00,-24.00,-24.00,29.00,412543.00,"5th"
"Ligue1","Bastia",190.00,60.00,83.00,47.00,194.00,264.00,-70.00,-70.00,227.00,46130094.00,"4th"
"Ligue1","Bordeaux",342.00,115.00,120.00,107.00,420.00,458.00,-38.00,-38.00,452.00,147034315.00,"4th"
"Ligue1","Brest",144.00,38.00,74.00,32.00,165.00,233.00,-68.00,-68.00,146.00,27165597.00,"5th"
"Ligue1","Caen",190.00,55.00,92.00,43.00,185.00,278.00,-93.00,-93.00,208.00,51138008.00,"5th"
"Ligue1","Clermont Foot",68.00,20.00,32.00,16.00,69.00,110.00,-41.00,-41.00,76.00,7308098.00,"5th"
"Ligue1","Dijon",152.00,34.00,80.00,38.00,157.00,264.00,-107.00,-107.00,140.00,43274540.00,"5th"
"Ligue1","Evian",114.00,32.00,57.00,25.00,126.00,166.00,-40.00,-40.00,121.00,22780199.00,"6th"
"Ligue1","Gazélec Ajaccio",38.00,8.00,17.00,13.00,37.00,58.00,-21.00,-21.00,37.00,6280785.00,"4th"
"Ligue1","Guingamp",228.00,68.00,105.00,55.00,244.00,333.00,-89.00,-89.00,259.00,62907737.00,"5th"
"Ligue1","Lens",144.00,57.00,47.00,40.00,199.00,185.00,14.00,14.00,211.00,15102777.00,"3rd"
"Ligue1","Lille",372.00,165.00,104.00,103.00,502.00,391.00,111.00,111.00,598.00,211860824.00,"3rd"
"Ligue1","Lorient",296.00,91.00,128.00,77.00,367.00,460.00,-93.00,-93.00,350.00,71036376.00,"5th"
"Ligue1","Lyon",372.00,194.00,90.00,88.00,684.00,423.00,261.00,261.00,669.00,334778657.00,"2nd"
"Ligue1","Marseille",372.00,180.00,92.00,100.00,587.00,414.00,173.00,173.00,640.00,408512175.00,"2nd"
"Ligue1","Metz",190.00,42.00,97.00,51.00,183.00,326.00,-143.00,-143.00,177.00,50762974.00,"5th"
"Ligue1","Monaco",334.00,183.00,68.00,83.00,605.00,364.00,241.00,241.00,632.00,406922680.00,"2nd"
"Ligue1","Montpellier",372.00,126.00,142.00,104.00,486.00,504.00,-18.00,-18.00,482.00,119504908.00,"4th"
"Ligue1","Nîmes",76.00,24.00,36.00,16.00,97.00,129.00,-32.00,-32.00,88.00,9434837.00,"5th"
"Ligue1","Nancy",76.00,18.00,39.00,19.00,67.00,110.00,-43.00,-43.00,73.00,7413018.00,"5th"
"Ligue1","Nantes",334.00,106.00,130.00,98.00,358.00,415.00,-57.00,-57.00,416.00,118352304.00,"4th"
"Ligue1","Nice",372.00,159.00,121.00,92.00,475.00,424.00,51.00,51.00,568.00,184689941.00,"3rd"
"Ligue1","Paris S-G",372.00,265.00,43.00,64.00,880.00,285.00,595.00,595.00,859.00,1882228524.00,"1st"
"Ligue1","Reims",296.00,88.00,108.00,100.00,332.00,382.00,-50.00,-50.00,364.00,77226534.00,"4th"
"Ligue1","Rennes",372.00,142.00,128.00,102.00,505.00,451.00,54.00,54.00,528.00,170960923.00,"3rd"
"Ligue1","Saint-Étienne",342.00,137.00,108.00,97.00,440.00,397.00,43.00,43.00,508.00,152913640.00,"3rd"
"Ligue1","Sochaux",76.00,20.00,35.00,21.00,78.00,118.00,-40.00,-40.00,81.00,13609218.00,
"Ligue1","Strasbourg",182.00,53.00,70.00,59.00,249.00,268.00,-19.00,-19.00,218.00,42076217.00,"4th"
