"League","Squad","CountOfID","MinOfSeason","MaxOfSeason"
"Bundesliga","Wolfsburg",9,"2013-2014","2021-2022"
"Bundesliga","Augsburg",9,"2013-2014","2021-2022"
"Bundesliga","Bayern Munich",9,"2013-2014","2021-2022"
"Bundesliga","M'Gladbach",9,"2013-2014","2021-2022"
"Bundesliga","Dortmund",9,"2013-2014","2021-2022"
"Bundesliga","Eint Frankfurt",9,"2013-2014","2021-2022"
"Bundesliga","Mainz 05",9,"2013-2014","2021-2022"
"Bundesliga","Leverkusen",9,"2013-2014","2021-2022"
"Bundesliga","Hoffenheim",9,"2013-2014","2021-2022"
"Bundesliga","Hertha BSC",9,"2013-2014","2021-2022"
"Bundesliga","Werder Bremen",8,"2013-2014","2020-2021"
"Bundesliga","Stuttgart",8,"2013-2014","2021-2022"
"Bundesliga","Schalke 04",8,"2013-2014","2020-2021"
"Bundesliga","Freiburg",8,"2013-2014","2021-2022"
"Bundesliga","Köln",7,"2014-2015","2021-2022"
"Bundesliga","RB Leipzig",6,"2016-2017","2021-2022"
"Bundesliga","Hannover 96",6,"2013-2014","2018-2019"
"Bundesliga","Hamburger SV",5,"2013-2014","2017-2018"
"Bundesliga","Union Berlin",3,"2019-2020","2021-2022"
"Bundesliga","Arminia",2,"2020-2021","2021-2022"
"Bundesliga","Paderborn 07",2,"2014-2015","2019-2020"
"Bundesliga","Nürnberg",2,"2013-2014","2018-2019"
"Bundesliga","Düsseldorf",2,"2018-2019","2019-2020"
"Bundesliga","Bochum",1,"2021-2022","2021-2022"
"Bundesliga","Darmstadt 98",1,"2015-2016","2015-2016"
"Bundesliga","Braunschweig",1,"2013-2014","2013-2014"
"Bundesliga","Greuther Fürth",1,"2021-2022","2021-2022"
"Bundesliga","Ingolstadt 04",1,"2015-2016","2015-2016"
"EPL","West Ham",10,"2013-2014","2022-2023"
"EPL","Everton",10,"2013-2014","2022-2023"
"EPL","Crystal Palace",10,"2013-2014","2022-2023"
"EPL","Chelsea",10,"2013-2014","2022-2023"
"EPL","Liverpool",10,"2013-2014","2022-2023"
"EPL","Manchester City",10,"2013-2014","2022-2023"
"EPL","Manchester Utd",10,"2013-2014","2022-2023"
"EPL","Arsenal",10,"2013-2014","2022-2023"
"EPL","Tottenham",10,"2013-2014","2022-2023"
"EPL","Southampton",10,"2013-2014","2022-2023"
"EPL","Leicester City",9,"2014-2015","2022-2023"
"EPL","Newcastle Utd",9,"2013-2014","2022-2023"
"EPL","Burnley",7,"2014-2015","2021-2022"
"EPL","Aston Villa",7,"2013-2014","2022-2023"
"EPL","Watford",6,"2015-2016","2021-2022"
"EPL","West Brom",6,"2013-2014","2020-2021"
"EPL","Bournemouth",6,"2015-2016","2022-2023"
"EPL","Brighton",6,"2017-2018","2022-2023"
"EPL","Wolves",5,"2018-2019","2022-2023"
"EPL","Swansea City",5,"2013-2014","2017-2018"
"EPL","Stoke City",5,"2013-2014","2017-2018"
