league,seasons,league_rank,squad,player,goals,team_total,league_total,goals_rank
Bundesliga,2017-2018,1,Bayern Munich,Robert Lewandowski,29,92,811,1
Bundesliga,2017-2018,1,Bayern Munich,Thomas MÃ¼ller,8,92,811,3
Bundesliga,2017-2018,1,Bayern Munich,Sandro Wagner,8,92,811,4
Bundesliga,2017-2018,1,Bayern Munich,James RodrÃ­guez,7,92,811,5
Bundesliga,2017-2018,1,Bayern Munich,Corentin Tolisso,6,92,811,6
Bundesliga,2017-2018,1,Bayern Munich,Arturo Vidal,6,92,811,7
Bundesliga,2017-2018,1,Bayern Munich,Arjen Robben,5,92,811,8
Bundesliga,2017-2018,1,Bayern Munich,Franck RibÃ©ry,5,92,811,9
Bundesliga,2017-2018,1,Bayern Munich,Kingsley Coman,3,92,811,10
Bundesliga,2017-2018,1,Bayern Munich,David Alaba,2,92,811,11
Bundesliga,2017-2018,1,Bayern Munich,Thiago AlcÃ¡ntara,2,92,811,12
Bundesliga,2017-2018,1,Bayern Munich,Niklas SÃ¼le,2,92,811,13
Bundesliga,2017-2018,1,Bayern Munich,Mats Hummels,1,92,811,14
Bundesliga,2017-2018,1,Bayern Munich,Niklas Dorsch,1,92,811,15
Bundesliga,2017-2018,1,Bayern Munich,Rafinha,1,92,811,16
Bundesliga,2017-2018,1,Bayern Munich,Joshua Kimmich,1,92,811,17
Bundesliga,2017-2018,1,Bayern Munich,Javi MartÃ­nez,1,92,811,18
Bundesliga,2017-2018,1,Bayern Munich,JÃ©rÃ´me Boateng,1,92,811,19
Bundesliga,2017-2018,1,Bayern Munich,Sebastian Rudy,1,92,811,20
Bundesliga,2017-2018,1,Bayern Munich,Marco Friedl,0,92,811,21
Bundesliga,2017-2018,1,Bayern Munich,Manuel Neuer,0,92,811,22
Bundesliga,2017-2018,1,Bayern Munich,Franck Evina,0,92,811,23
Bundesliga,2017-2018,1,Bayern Munich,Juan Bernat,0,92,811,24
Bundesliga,2017-2018,1,Bayern Munich,Kwasi Okyere Wriedt,0,92,811,25
Bundesliga,2017-2018,1,Bayern Munich,Meritan Shabani,0,92,811,26
Bundesliga,2017-2018,1,Bayern Munich,Sven Ulreich,0,92,811,27
Bundesliga,2017-2018,1,Bayern Munich,Lars Lukas Mai,0,92,811,28
Bundesliga,2017-2018,1,Bayern Munich,Tom Starke,0,92,811,29
Bundesliga,2017-2018,2,Schalke 04,Guido Burgstaller,11,53,811,1
Bundesliga,2017-2018,2,Schalke 04,Naldo,7,53,811,2
Bundesliga,2017-2018,2,Schalke 04,Daniel Caligiuri,6,53,811,3
Bundesliga,2017-2018,2,Schalke 04,Leon Goretzka,4,53,811,4
Bundesliga,2017-2018,2,Schalke 04,Yevhen Konoplyanka,4,53,811,5
Bundesliga,2017-2018,2,Schalke 04,Nabil Bentaleb,4,53,811,6
Bundesliga,2017-2018,2,Schalke 04,Thilo Kehrer,3,53,811,7
Bundesliga,2017-2018,2,Schalke 04,Franco Di Santo,3,53,811,8
Bundesliga,2017-2018,2,Schalke 04,Breel Embolo,3,53,811,9
Bundesliga,2017-2018,2,Schalke 04,Amine Harit,3,53,811,10
Bundesliga,2017-2018,2,Schalke 04,Marko Pjaca,2,53,811,11
Bundesliga,2017-2018,2,Schalke 04,Alessandro SchÃ¶pf,0,53,811,12
Bundesliga,2017-2018,2,Schalke 04,Benjamin Stambouli,0,53,811,13
Bundesliga,2017-2018,2,Schalke 04,Alexander NÃ¼bel,0,53,811,14
Bundesliga,2017-2018,2,Schalke 04,Baba Rahman,0,53,811,15
Bundesliga,2017-2018,2,Schalke 04,Bastian Oczipka,0,53,811,16
Bundesliga,2017-2018,2,Schalke 04,Weston McKennie,0,53,811,17
Bundesliga,2017-2018,2,Schalke 04,Cedric Teuchert,0,53,811,18
Bundesliga,2017-2018,2,Schalke 04,Coke,0,53,811,19
Bundesliga,2017-2018,2,Schalke 04,Fabian Reese,0,53,811,20
Bundesliga,2017-2018,2,Schalke 04,Matija NastasiÄ‡,0,53,811,21
Bundesliga,2017-2018,2,Schalke 04,Max Meyer,0,53,811,22
Bundesliga,2017-2018,2,Schalke 04,Pablo Insua,0,53,811,23
Bundesliga,2017-2018,2,Schalke 04,Ralf FÃ¤hrmann,0,53,811,24
Bundesliga,2017-2018,3,Hoffenheim,Mark Uth,14,66,811,1
Bundesliga,2017-2018,3,Hoffenheim,Andrej KramariÄ‡,13,66,811,2
Bundesliga,2017-2018,3,Hoffenheim,Serge Gnabry,10,66,811,3
Bundesliga,2017-2018,3,Hoffenheim,ÃdÃ¡m Szalai,5,66,811,4
Bundesliga,2017-2018,3,Hoffenheim,Sandro Wagner,4,66,811,5
Bundesliga,2017-2018,3,Hoffenheim,Benjamin HÃ¼bner,3,66,811,6
Bundesliga,2017-2018,3,Hoffenheim,Lukas Rupp,3,66,811,7
Bundesliga,2017-2018,3,Hoffenheim,Dennis Geiger,2,66,811,8
Bundesliga,2017-2018,3,Hoffenheim,Kerem Demirbay,2,66,811,9
Bundesliga,2017-2018,3,Hoffenheim,Nadiem Amiri,2,66,811,10
Bundesliga,2017-2018,3,Hoffenheim,Pavel KadeÅ™Ã¡bek,2,66,811,11
Bundesliga,2017-2018,3,Hoffenheim,Nico Schulz,1,66,811,12
Bundesliga,2017-2018,3,Hoffenheim,Florian Grillitsch,1,66,811,13
