Player,Squad,MP,Starts,Min,90s,Goals,Goals,Seasons,League
Rolando Aarons,Hellas Verona,11,6,517,5.7,0,0.00,2017-2018,Serie A
Ignazio Abate,Milan,17,11,"1,057",11.7,1,0.09,2017-2018,Serie A
Francesco Acerbi,Sassuolo,38,38,"3,420",38.0,0,0.00,2017-2018,Serie A
Afriyie Acquah,Torino,22,9,951,10.6,1,0.09,2017-2018,Serie A
Claud Adjapong,Sassuolo,16,14,"1,220",13.6,0,0.00,2017-2018,Serie A
Ali Adnan Kadhim,Udinese,23,18,"1,674",18.6,0,0.00,2017-2018,Serie A
Arlind Ajeti,Crotone,21,15,"1,271",14.1,0,0.00,2017-2018,Serie A
Luis Alberto,Lazio,34,32,"2,669",29.7,11,0.37,2017-2018,Serie A
Raúl Albiol,Napoli,31,30,"2,742",30.5,3,0.10,2017-2018,Serie A
Alisson,Roma,37,37,"3,330",37.0,0,0.00,2017-2018,Serie A
Allan,Napoli,38,32,"2,850",31.7,4,0.13,2017-2018,Serie A
Ricky Álvarez,Sampdoria,12,2,267,3.0,1,0.34,2017-2018,Serie A
Joachim Andersen,Sampdoria,7,6,546,6.1,0,0.00,2017-2018,Serie A
Felipe Anderson,Lazio,21,9,"1,162",12.9,4,0.31,2017-2018,Serie A
Nícolas Andrade,Hellas Verona,36,36,"3,240",36.0,0,0.00,2017-2018,Serie A
Marco Andreolli,Cagliari,23,20,"1,829",20.3,0,0.00,2017-2018,Serie A
Gabriele Angella,Udinese,12,9,893,9.9,0,0.00,2017-2018,Serie A
Cristian Ansaldi,Torino,25,20,"1,872",20.8,1,0.05,2017-2018,Serie A
Luca Antei,Benevento,8,8,592,6.6,0,0.00,2017-2018,Serie A
Mirco Antenucci,SPAL,33,28,"2,571",28.6,11,0.39,2017-2018,Serie A
Luca Antonelli,Milan,6,1,144,1.6,0,0.00,2017-2018,Serie A
Mirko Antonucci,Roma,2,0,31,0.3,0,0.00,2017-2018,Serie A
Samuel Armenteros,Benevento,9,5,429,4.8,1,0.21,2017-2018,Serie A
Kwadwo Asamoah,Juventus,19,18,"1,568",17.4,0,0.00,2017-2018,Serie A
Davide Astori,Fiorentina,25,25,"2,250",25.0,1,0.04,2017-2018,Serie A
,,,,,,,,2017-2018,Serie A
Felipe Avenatti,Bologna,11,4,468,5.2,0,0.00,2017-2018,Serie A
Khouma Babacar,Fiorentina,16,1,448,5.0,4,0.80,2017-2018,Serie A
Khouma Babacar,Sassuolo,13,8,750,8.3,2,0.24,2017-2018,Serie A
Milan Badelj,Fiorentina,27,27,"2,351",26.1,2,0.08,2017-2018,Serie A
Riad Bajić,Udinese,5,0,80,0.9,0,0.00,2017-2018,Serie A
Andrija Balić,Udinese,21,11,"1,083",12.0,0,0.00,2017-2018,Serie A
Mattia Bani,Chievo,16,15,"1,317",14.6,0,0.00,2017-2018,Serie A
Antonín Barák,Udinese,34,31,"2,713",30.1,7,0.23,2017-2018,Serie A
Andrea Barberis,Crotone,38,34,"3,029",33.7,2,0.06,2017-2018,Serie A
Nicolò Barella,Cagliari,34,34,"2,955",32.8,6,0.18,2017-2018,Serie A
Antonio Barreca,Torino,9,3,468,5.2,0,0.00,2017-2018,Serie A
Édgar Barreto,Sampdoria,28,24,"1,965",21.8,1,0.05,2017-2018,Serie A
Musa Barrow,Atalanta,12,5,443,4.9,3,0.61,2017-2018,Serie A
Andrea Barzagli,Juventus,25,14,"1,447",16.1,0,0.00,2017-2018,Serie A
Daniele Baselli,Torino,32,30,"2,521",28.0,4,0.14,2017-2018,Serie A
Dušan Basta,Lazio,11,9,775,8.6,0,0.00,2017-2018,Serie A
Gil Bastião Dias,Fiorentina,27,9,"1,190",13.2,2,0.15,2017-2018,Serie A
Samuel Bastien,Chievo,21,15,"1,355",15.1,1,0.07,2017-2018,Serie A
Alessandro Bastoni,Atalanta,4,0,91,1.0,0,0.00,2017-2018,Serie A
Bastos,Lazio,21,16,"1,407",15.6,4,0.26,2017-2018,Serie A
Enrico Bearzotti,Hellas Verona,6,4,410,4.6,0,0.00,2017-2018,Serie A
Valon Behrami,Udinese,20,18,"1,398",15.5,1,0.06,2017-2018,Serie A
Vid Belec,Benevento,13,13,"1,113",12.4,0,0.00,2017-2018,Serie A
Vid Belec,Sampdoria,2,2,180,2.0,0,0.00,2017-2018,Serie A
Andrea Belotti,Torino,32,29,"2,683",29.8,10,0.34,2017-2018,Serie A
,,,,,,,,2017-2018,Serie A
