Player,Squad,MP,Starts,Min,90s,Goals,Seasons,League
Vincent Aboubakar,pt Porto,6,6,495,5.5,5,2017-2018,UEFA
Marcos Acuña,pt Sporting CP,5,5,433,4.8,0,2017-2018,UEFA
Tosin Adarabioyo,eng Manchester City,2,1,91,1.0,0,2017-2018,UEFA
Adriano,tr Be?ikta?,6,5,486,5.4,0,2017-2018,UEFA
Luiz Adriano,ru Spartak Moscow,6,6,540,6.0,1,2017-2018,UEFA
Ansi Agolli,az Qaraba? FK,4,4,360,4.0,0,2017-2018,UEFA
Sergio Agüero,eng Manchester City,7,5,440,4.9,4,2017-2018,UEFA
Karim El Ahmadi,nl Feyenoord,4,4,360,4.0,0,2017-2018,UEFA
Valon Ahmedi,si NK Maribor,4,3,226,2.5,0,2017-2018,UEFA
Albian Ajeti,ch Basel,3,1,98,1.1,0,2017-2018,UEFA
Manuel Akanji,ch Basel,6,6,540,6.0,0,2017-2018,UEFA
Igor Akinfeev,ru CSKA Moscow,6,6,540,6.0,0,2017-2018,UEFA
David Alaba,de Bayern Munich,7,7,625,6.9,0,2017-2018,UEFA
Jordi Alba,es Barcelona,8,7,638,7.1,0,2017-2018,UEFA
Raúl Albiol,it Napoli,5,5,450,5.0,0,2017-2018,UEFA
Paco Alcácer,es Barcelona,2,1,95,1.1,1,2017-2018,UEFA
Thiago Alcántara,de Bayern Munich,10,7,607,6.7,3,2017-2018,UEFA
Toby Alderweireld,eng Tottenham,4,4,294,3.3,0,2017-2018,UEFA
Trent Alexander-Arnold,eng Liverpool,10,9,820,9.1,1,2017-2018,UEFA
Nektarios Alexandrou,cy APOEL FC,2,1,52,0.6,0,2017-2018,UEFA
Alisson,it Roma,12,12,"1,080",12.0,0,2017-2018,UEFA
Allan,it Napoli,6,3,307,3.4,0,2017-2018,UEFA
Dele Alli,eng Tottenham,5,5,428,4.8,2,2017-2018,UEFA
André Almeida,pt Benfica,4,3,259,2.9,0,2017-2018,UEFA
André Almeida Pinto,pt Sporting CP,2,2,180,2.0,0,2017-2018,UEFA
,,,,,,,2017-2018,UEFA
Richard Almeida,az Qaraba? FK,6,6,540,6.0,0,2017-2018,UEFA
Stathis Aloneftis,cy APOEL FC,6,6,502,5.6,0,2017-2018,UEFA
Marcos Alonso,eng Chelsea,7,7,598,6.6,0,2017-2018,UEFA
Éder Álvarez Balanta,ch Basel,6,6,530,5.9,0,2017-2018,UEFA
Dani Alves,fr Paris S-G,8,8,720,8.0,2,2017-2018,UEFA
Sofyan Amrabat,nl Feyenoord,6,6,528,5.9,1,2017-2018,UEFA
André André,pt Porto,4,2,225,2.5,0,2017-2018,UEFA
Thanasis Androutsos,gr Olympiacos,1,1,90,1.0,0,2017-2018,UEFA
Minas Antoniou,cy APOEL FC,1,0,9,0.1,0,2017-2018,UEFA
Mirko Antonucci,it Roma,1,0,15,0.2,0,2017-2018,UEFA
Dennis Appiah,be Anderlecht,6,5,514,5.7,0,2017-2018,UEFA
Alphonse Areola,fr Paris S-G,8,8,720,8.0,0,2017-2018,UEFA
Stuart Armstrong,sct Celtic,4,4,236,2.6,0,2017-2018,UEFA
Tolgay Arslan,tr Be?ikta?,6,4,323,3.6,0,2017-2018,UEFA
Kwadwo Asamoah,it Juventus,3,1,99,1.1,0,2017-2018,UEFA
Marco Asensio,es Real Madrid,12,3,472,5.2,1,2017-2018,UEFA
Pierre-Emerick Aubameyang,de Dortmund,6,6,540,6.0,4,2017-2018,UEFA
Jean-Kévin Augustin,de RB Leipzig,5,4,341,3.8,1,2017-2018,UEFA
Filipe Augusto,pt Benfica,3,3,237,2.6,0,2017-2018,UEFA
Serge Aurier,eng Tottenham,6,6,507,5.6,0,2017-2018,UEFA
Márcio Azevedo,ua Shakhtar,1,0,26,0.3,0,2017-2018,UEFA
César Azpilicueta,eng Chelsea,8,8,705,7.8,1,2017-2018,UEFA
Ryan Babel,tr Be?ikta?,7,6,555,6.2,2,2017-2018,UEFA
Eric Bailly,eng Manchester Utd,3,3,270,3.0,0,2017-2018,UEFA
Gregor Bajde,si NK Maribor,4,3,248,2.8,0,2017-2018,UEFA
,,,,,,,2017-2018,UEFA
Tiemoué Bakayoko,eng Chelsea,5,4,361,4.0,1,2017-2018,UEFA
Keita Baldé,fr Monaco,6,3,289,3.2,0,2017-2018,UEFA
Gareth Bale,es Real Madrid,7,3,297,3.3,3,2017-2018,UEFA
Éver Banega,es Sevilla,9,9,792,8.8,1,2017-2018,UEFA
Gabriel Barbosa,pt Benfica,2,0,30,0.3,0,2017-2018,UEFA
Marc Bartra,de Dortmund,4,4,350,3.9,0,2017-2018,UEFA
Andrea Barzagli,it Juventus,8,7,654,7.3,0,2017-2018,UEFA
Bilal Ba?aç?ko?lu,nl Feyenoord,2,0,29,0.3,0,2017-2018,UEFA
Michy Batshuayi,eng Chelsea,4,1,122,1.4,2,2017-2018,UEFA
Rodrigo Battaglia,pt Sporting CP,6,6,537,6.0,0,2017-2018,UEFA
Sven van Beek,nl Feyenoord,4,3,269,3.0,0,2017-2018,UEFA
Wissam Ben Yedder,es Sevilla,9,8,651,7.2,8,2017-2018,UEFA
Diego Benaglio,fr Monaco,3,3,270,3.0,0,2017-2018,UEFA
Medhi Benatia,it Juventus,8,7,566,6.3,0,2017-2018,UEFA
Rodrigo Bentancur,it Juventus,5,3,291,3.2,0,2017-2018,UEFA
Karim Benzema,es Real Madrid,9,8,600,6.7,5,2017-2018,UEFA
Yuri Berchiche,fr Paris S-G,2,2,180,2.0,0,2017-2018,UEFA
Aleksei Berezutski,ru CSKA Moscow,3,3,270,3.0,0,2017-2018,UEFA
Vasili Berezutski,ru CSKA Moscow,5,5,450,5.0,0,2017-2018,UEFA
Steven Berghuis,nl Feyenoord,6,6,466,5.2,1,2017-2018,UEFA
Bernard,ua Shakhtar,8,8,681,7.6,3,2017-2018,UEFA
Federico Bernardeschi,it Juventus,5,1,136,1.5,1,2017-2018,UEFA
Bernardo,de RB Leipzig,3,1,114,1.3,0,2017-2018,UEFA
Juan Bernat,de Bayern Munich,1,1,46,0.5,0,2017-2018,UEFA
Jean-Claude Billong,si NK Maribor,4,4,360,4.0,0,2017-2018,UEFA
,,,,,,,2017-2018,UEFA
Nir Bitton,sct Celtic,3,1,187,2.1,0,2017-2018,UEFA
Daley Blind,eng Manchester Utd,6,6,540,6.0,1,2017-2018,UEFA
Jérôme Boateng,de Bayern Munich,9,8,677,7.5,0,2017-2018,UEFA
Salvatore Bocchetti,ru Spartak Moscow,3,3,270,3.0,0,2017-2018,UEFA
Frank Boeckx,be Anderlecht,3,3,270,3.0,0,2017-2018,UEFA
Jean-Paul Boëtius,nl Feyenoord,6,6,519,5.8,0,2017-2018,UEFA
Damjan Bohar,si NK Maribor,6,6,484,5.4,1,2017-2018,UEFA
