ID,TableIndex,Season,League Rank,Squad,NumPlayers,Avg_Age,Avg_Poss,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Annual Wages,League,gf2,ga2,gfga,Available_Points,Pythagorean_%,Predicted_Points,Difference
1,0,2017-2018,1,Bayern Munich,38,27.4,66.1,34,27,3,4,92,28,64,84,2.47,75.8,31.7,44.1,1.3,75000,185051324,Bundesliga,8464,784,9248,102,0.915224913,93.35294118,-9.352941176
2,6,2017-2018,2,Schalke 04,29,26.1,46.6,34,18,9,7,53,37,16,63,1.85,46.7,40.2,6.6,0.19,61197,42474540,Bundesliga,2809,1369,4178,102,0.672331259,68.57778842,-5.577788416
3,3,2017-2018,5,Leverkusen,27,24,54.6,34,15,10,9,58,44,14,55,1.62,57.5,38.9,18.6,0.55,28415,57923248,Bundesliga,3364,1936,5300,102,0.634716981,64.74113208,-9.741132075
4,7,2017-2018,3,Hoffenheim,36,25,51.2,34,15,10,9,66,48,18,55,1.62,50.5,47.2,3.3,0.1,28716,39546630,Bundesliga,4356,2304,6660,102,0.654054054,66.71351351,-11.71351351
5,1,2017-2018,4,Dortmund,33,25.9,59.1,34,15,10,9,64,47,17,55,1.62,66,42.2,23.8,0.7,79496,84471113,Bundesliga,4096,2209,6305,102,0.64964314,66.26360032,-11.26360032
6,5,2017-2018,6,RB Leipzig,28,23.4,55,34,15,8,11,57,53,4,53,1.56,51.9,46.7,5.2,0.15,39397,43215431,Bundesliga,3249,2809,6058,102,0.536315616,54.7041928,-1.704192803
7,9,2017-2018,7,Stuttgart,34,25.6,46.6,34,15,6,13,36,36,0,51,1.5,40.3,43.5,-3.1,-0.09,56045,29831438,Bundesliga,1296,1296,2592,102,0.5,51,0
8,12,2017-2018,8,Eint Frankfurt,36,26.4,47.9,34,14,7,13,45,45,0,49,1.44,42.2,41.7,0.5,0.01,49159,26256394,Bundesliga,2025,2025,4050,102,0.5,51,-2
9,4,2017-2018,9,M'Gladbach,35,25.7,52,34,13,8,13,47,52,-5,47,1.38,51.1,52,-0.8,-0.02,50986,45530856,Bundesliga,2209,2704,4913,102,0.449623448,45.8615917,1.138408304
10,13,2017-2018,10,Hertha BSC,32,26.4,46.1,34,10,13,11,43,46,-3,43,1.26,39.2,44.3,-5.1,-0.15,45319,25994483,Bundesliga,1849,2116,3965,102,0.466330391,47.56569987,-4.565699874
